행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
달성 100대 피아노,화원동산 사문진나루터,100인 피아니트스 공연 및 초청가수 공연 등,2022-10-01,2022-10-02,19:00,22:00,무료,달성문화재단,달성군,053-659-4282,,,,,,,,,,대구광역시 달성군 화원읍 사문진로1길 40-12,대구광역시 달성군 화원읍 성산리 317,35.81105329,128.4786571,2022-06-10
달성 100대 피아노,화원동산 사문진나루터,100인 피아니트스 공연 및 초청가수 공연 등,2021-09-30,2021-09-30,19:00,22:00,무료,달성문화재단,달성군,053-659-4282,,,,,,,,,,대구광역시 달성군 화원읍 사문진로1길 40-12,대구광역시 달성군 화원읍 성산리 317,35.81105329,128.4786571,2022-06-10
성악중창페스티벌,달성군민체육관,전국 유일 성악중창을 소재로 한 공연,2021-12-15,2021-12-15,17:00,20:00,무료,달성문화재단,달성군,053-659-4282,,,,,,,,,,대구광역시 달성군 현풍읍 현풍중앙로 130,대구광역시 달성군 현풍읍 성하리 235-4,35.70047073,128.4413213,2022-06-10
비슬산 참꽃문화제,비슬산,"개막식 및 가요제 개최, 부대행사 및 체험부스 운영 등",2021-04-15,2021-04-15,0:00,23:59,무료,달성문화재단,달성군,053-659-4292,대구광역시,,,,,,,,,대구광역시 달성군 유가읍 양리 산1,대구광역시 달성군 유가읍 양리 산1,35.72304422,128.5144127,2022-06-10
달성 대구현대미술제,강정보 디아크 일대,야외설치작품전시 및 오프닝 행사 등,2021-10-01,2021-10-01,9:00,22:00,무료,달성문화재단,달성군,053-659-4292,,,,,,,,,,대구광역시 달성군 다사읍 강정본길 57,대구광역시 달성군 다사읍 죽곡리 806,35.84116377,128.4650582,2022-06-10
달성군립합창단 정기연주회,달성군민체육관,달성군립합창단 및 게스트 공연 등,2021-11-30,2021-11-30,19:30,21:30,무료,달성문화재단,달성군,053-659-4292,,,,,,,,,,대구광역시 달성군 현풍읍 현풍중앙로 130,대구광역시 달성군 현풍읍 성하리 235-4,35.70047073,128.4413213,2022-06-10
달성음악회,관내,초청가수 공연,2021-09-15,2021-09-15,19:30,21:30,무료,달성문화재단,달성군,053-659-4292,,,,,,,,,,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,35.77466317,128.4313897,2022-06-10
새봄맞이 음악회,미정,초청가수 공연,2021-03-15,2021-03-15,19:00,21:00,무료,달성문화재단,달성군,053-659-4292,,,,,,,,,,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,35.77466317,128.4313897,2022-06-10
