행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
EAC시즌기획[봄]<필하모닉 앙상블 초청연주회>,어울아트센터 함지홀,오케스트라 빈 필하모닉 최상급 클래식 음악회,2022-05-14,2022-05-14,17:00,22:00,유료,(재)행복북구문화재단,(재)행복북구문화재단,053-320-5139,,256,일반5만원,8세 이상,,,http://www.hbcf.or.kr/front/,,Y,대구광역시 북구 구암로 47(관음동),대구광역시 북구 관음동 1372,35.93586735,128.5451287,2022-05-18
마임연극<내 마음에 꽃이 피었습니다>,어울아트센터 오봉홀,마임연극,2022-05-25,2022-05-25,19:30,22:00,유료,(재)행복북구문화재단,(재)행복북구문화재단,053-320-5139,,256,전석1만원,6세 이상,,,http://www.hbcf.or.kr/front/,,Y,대구광역시 북구 구암로 47(관음동),대구광역시 북구 관음동 1372,35.93586735,128.5451287,2022-05-18
