행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
노원명소 예술극장,"경춘선숲길 및 당현천, 수락산디자인거리, 석계역 문화공원 등",노원구 전 지역을 문화의 거리로 조성하기 위하여 고품질의 거리예술공연 시행,2021-10-02,2021-10-30,15:00,20:00,무료,노원문화재단,노원문화재단,02-2289-3461,노원구청,100,무료,8세 이상,,,https://www.nowonarts.kr/,,N,,서울특별시 노원구 공릉동 29-51,,,2021-09-13
찾아가는 예술극장,각 동 지정장소,노원구 전 지역을 문화의 거리로 조성하기 위하여 고품질의 거리예술공연 시행,2021-10-03,2021-10-31,15:00,20:00,무료,노원문화재단,노원문화재단,02-2289-3461,노원구청,100,무료,8세 이상,,,https://www.nowonarts.kr/,,N,,서울특별시 노원구 공릉동 29-51,,,2021-09-13
경춘선숲길 가을음악회,경춘선숲길 화랑대역 철도공원,도심 속 공원에서 음악과 함께 즐기는 쉼표가 있는 저녁,2021-10-15,2020-10-15,19:00,21:00,무료,노원문화재단,노원문화재단,02-2289-3464,노원구청,400,무료,8세 이상,,,https://www.nowonarts.kr/,,Y,,서울특별시 노원구 공릉동 29-51,,,2021-09-13
노원달빛산책,당현3교~ 수학문화관,친환경 생태하천인 당현천에 노원구만의 주제의식을 담은 예술등 작품 전시,2021-10-08,2020-10-23,0:00,0:00,무료,노원문화재단,노원문화재단,02-2289-3461,노원구청,,무료,8세 이상,,,https://www.nowonarts.kr/,,N,,서울특별시 노원구 상계동 683-1,,,2021-09-13
