행사명,장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
서울놀이마당 상설정기공연,서울놀이마당,전통문화공연,2020-04-01,2020-10-30,15:00,무료,서울특별시 송파구청,서울특별시 송파구청,02-2147-2806,,1750,무료,,,,http://culture.songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&c=1001&cate_id=AM0000000000,,N,서울특별시 송파구 삼학사로 136,,37.509357,127.098198,2020-02-13
수요무대,구민회관 대강당,"뮤지컬, 연극 등",2020-01-29,2020-12-30,19:00,무료,서울특별시 송파구청,서울특별시 송파구청,02-2147-2873,,607,무료,,,,http://culture.songpa.go.kr/user.kdf?a=songpa.culture.play.CalApp&c=1003&cul1=4&cate_id=AM0202006000,http://culture.songpa.go.kr/user.kdf?a=songpa.culture.play.CalApp&c=1003&cul1=4&now_day=05&cate_id=AM0302007000,Y,서울특별시 송파구 백제고분로 242,,37.50235857,127.0934919,2020-02-13
상반기 석촌호수 주말버스킹,석촌호수 동호 중앙수변무대,"연주, 댄스, 노래 등",2020-04-04,2020-06-28,14:00~18:00,무료,서울특별시 송파구청,서울특별시 송파구청,02-2147-2814,,,무료,,,,http://culture.songpa.go.kr/user.kdf?a=songpa.culture.play.CultureApp&c=1001&cul_title=2&cate_id=AM0202002000,,N,서울특별시 송파구 올림픽로 240,,37.51131078,127.0981404,2020-02-13
