행사명,장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
도봉구민회관 (상설공연장),도봉구 창동역길 23 구민회관 대강당,각종 공연,2017-01-01,2017-12-30,19:00~21:00,무료,서울특별시 도봉구청,서울특별시 도봉구청,02-2091-2254,도봉구시설관리공단(위탁),550,,공연별 상이,http://www.dobongsiseol.or.kr/index_hall.html,,http://www.dobongsiseol.or.kr/index_hall.html,http://www.dobongsiseol.or.kr/index_hall.html,Y,서울특별시 도봉구 창동역길 23 구민회관 대강당,서울특별시 도봉구 창동 303,37.6540542,127.0384151,2018-05-01
거리예술공연 등 야외공연 (창동문화마당),도봉구 창동 3 창동문화마당,각종 공연,2017-01-01,2017-12-30,19:00~21:00,무료,서울특별시 도봉구청,서울특별시 도봉구청,02-2091-2254,도봉구 시설관리공단(위탁),500,무료,없음,없음,현재운영하지않음,http://www.dobong.go.kr,없음,Y,서울특별시 도봉구 창동 3 창동문화마당,서울특별시 도봉구 창동 4,37.653109,127.0486736,2018-05-01
아뜨리움 (화요정오음악회 및 드림페스티벌),도봉구 마들로 656 도봉구청 지하1층 아뜨리움,음악회,2017-01-01,2017-12-30,12:00~13:00,무료,서울특별시 도봉구청,서울특별시 도봉구청,02-2091-2254,없음,100,무료,제한없음,없음,,http://www.dobong.go.kr,없음,Y,서울특별시 도봉구 마들로 656 도봉구청 지하1층 아뜨리움,서울특별시 도봉구 방학동 720,37.6686287,127.0470496,2018-05-01
