행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
두번째달×오단해,영등포아트홀 공연장,국악밴드,2022-04-29,2022-04-29,20:00,21:10,유료,영등포문화재단,영등포문화재단,02-2629-2200,,236,유료,8세이상,"영등포아트홀정기후원,공연후원, 문화도시영등포, 국가유공자, 중증장애인, 경증장애인, 예술인패스, 가정통신문, 문화누리카드",음식물 반입 금지,https://www.ydpcf.or.kr/artexhibit/view.do?id=244,https://tickets.interpark.com/goods/22003026,Y,서울특별시 영등포구 국회대로 596,서울특별시 영등포구 당산동3가 3 영등포구민회관,37.52601008,126.900112,2022-05-17
에스메의 여름,영등포아트홀 공연장,연극,2022-05-13,2022-05-14,19:30,18:00,유료,창작꿈터놀이공장+플랜비,영등포문화재단,02-2629-2200,,236,유료,5세이상,"영등포아트홀정기후원,공연후원, 문화도시영등포, 국가유공자, 중증장애인, 경증장애인, 예술인패스, 가정통신문, 문화누리카드, 가족과함께",음식물 반입 금지,https://www.ydpcf.or.kr/artexhibit/view.do?id=245,https://tickets.interpark.com/goods/22002946,Y,서울특별시 영등포구 국회대로 596,서울특별시 영등포구 당산동3가 3 영등포구민회관,37.52601008,126.900112,2022-05-17
세상이 이렇게 끝나다니 쾅 소리 한 번 없이 흐느낌으로,영등포아트홀 공연장,연극,2022-06-30,2022-07-09,20:00,22:00,유료,극단배다,영등포문화재단,02-2629-2200,서울문화재단,30,유료,14세이상,"영등포아트홀정기후원,공연후원, 문화도시영등포, 국가유공자, 중증장애인, 경증장애인, 예술인패스, 문화누리카드, 극단배다마니아",음식물 반입 금지,https://www.ydpcf.or.kr/artexhibit/view.do?id=246,https://tickets.interpark.com/goods/22002911,Y,서울특별시 영등포구 국회대로 596,서울특별시 영등포구 당산동3가 3 영등포구민회관,37.52601008,126.900112,2022-05-17
