행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
광진구민 힐링 프로젝트 Ⅱ <드라이브 인 콘서트>,어린이회관 야외주차장,자동차 안에서 즐기는 음악회,2020-10-28,2020-10-28,19:30,20:30,무료,서울특별시 광진문화재단,서울특별시 광진문화재단,02-2049-4700,,50,,전체 연령,,,http://www.naruart.or.kr,,Y,서울특별시 광진구 능동로 76,서울특별시 광진구 자양3동 227-344,37.537527,127.070576,2022-05-06
클래식 샹들리에 in 나루,나루아트센터 갤러리,명사초청 클래식 연주,2020-07-31,2020-11-10,19:30,20:30,유료,서울특별시 광진문화재단,한국문화예술회관연합회,02-2049-4700,,,20000,36개월 이상,홈페이지 참조,,http://www.naruart.or.kr,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005633,Y,서울특별시 광진구 능동로 76,서울특별시 광진구 자양3동 227-344,37.537527,127.070576,2022-05-06
지극정성 프로젝트 <10분 예술제>,충동소극장,지역극장 모델발굴 시범사업,2020-10-17,2021-02-20,17:00,18:00,유료,서울특별시 광진문화재단,극단충동,02-4049-4712,,,5000,전체 연령,,,http://www.naruart.or.kr,https://booking.naver.com/booking/5/bizes/408731,N,서울특별시 광진구 뚝섬로36길 49,서울특별시 광진구 자양3동 497-4,37.532247,127.070622,2022-05-06
2022년 거리문화공연,청춘뜨락 야외무대,구민대상 문화공연,2022-04-01,2022-10-28,18:00,19:00,무료,서울특별시 광진구청,서울특별시 광진구청,02-450-7575,,,,전체 연령,,,https://www.gwangjin.go.kr,,,,서울특별시 광진구 화양동 6-11,37.540309,127.070305,2022-05-06
2022년 열린 생활문화 공연,아차산어울림광장,구민대상 문화공연,2022-04-02,2022-05-28,16:00,17:00,무료,서울특별시 광진구청,서울특별시 광진구청,02-450-7584,,,,전체 연령,,,https://www.gwangjin.go.kr,,,,서울특별시 광진구 광장동 370-3,37.55208507,127.0999335,2022-05-06
