행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2022년 클래식품격콘서트,광림아트센터 장천아트홀,제141회 클래식품격콘서트,2022-02-03,2002-02-03,11:00,12:00,무료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 강남구 압구정로22길21,,,,2022-06-28
2022년 강남심포니오케스트라 정기연주회,예술의전당 콘서트홀,제90회 정기연주회,2022-02-22,2022-02-22,19:30,21:00,유료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2022-06-28
2022년 클래식품격콘서트,광림아트센터 장천아트홀,제142회 클래식품격콘서트,2022-03-03,2022-03-03,11:00,12:00,무료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 강남구 압구정로22길21,,,,2022-06-28
2022년 클래식품격콘서트,광림아트센터 장천아트홀,제143회 클래식품격콘서트,2022-04-07,2022-04-07,11:00,12:00,무료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 강남구 압구정로22길21,,,,2022-06-28
2022년 교향악축제,예술의전당 콘서트홀,2022년 교향악 축제 - 강남심포니오케스트라,2022-04-23,2022-04-23,17:00,19:00,유료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2022-06-28
2022년 강남심포니오케스트라 정기연주회,예술의전당 콘서트홀,제91회 정기연주회,2022-05-04,2022-05-04,19:30,21:00,유료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2022-06-28
2022년 클래식품격콘서트,광림아트센터 장천아트홀,제144회 클래식품격콘서트,2022-05-12,2022-05-12,11:00,12:00,무료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 강남구 압구정로22길21,,,,2022-06-28
2022년 클래식품격콘서트,광림아트센터 장천아트홀,제145회 클래식품격콘서트,2022-06-02,2022-06-02,11:00,12:00,무료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 강남구 압구정로22길21,,,,2022-06-28
2022년 강남심포니오케스트라 정기연주회,예술의전당 콘서트홀,제92회 정기연주회,2022-06-29,2022-06-29,19:30,21:00,유료,강남문화재단,강남문화재단,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2022-06-28
