행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
금요문화공감,"중랑구청, 중랑구민회관, 야외",남녀노소 누구나 좋아하는 문화공연,2022-01-01,2022-12-31,19:30,21:30,무료,중랑문화재단,중랑문화재단,02-3407-6534,,500,무료,무관(36개월 이상 관람 권장),,,https://www.jnfac.or.kr/,,,서울특별시 중랑구 망우로 353 이노시티C동 B2F,,37.59816174,127.0905844,2022-06-10
중랑아티스트 열린문화공감,"중랑구 관내 광장, 공원 일대",문화예술거리 버스킹 공연,2022-02-01,2022-11-30,9:00,18:00,무료,중랑문화재단,중랑문화재단,02-3407-6533,서울시,,무료,무관,,,https://www.jnfac.or.kr/,,,서울특별시 중랑구 망우로 353 이노시티C동 B3F,,37.59816174,127.0905844,2022-06-10
