행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2019 신년음악회,양천문화회관 대극장,클래식 오케스트라,2019-01-29,2019-01-29,19:00,20:30,유료,서울팝스오케스트라,서울특별시 양천구청,02-2620-3404,,684,유료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동서로 367,서울특별시 양천구 신정동 322,37.5165199,126.8633396,2021-06-21
3.1운동 100주년기념 음악회,양천문화회관 대극장,독립운동가를 재조명하는 피아노 앙상블 공연,2019-03-17,2019-03-17,16:00,17:00,무료,루트프러덕션,서울특별시 양천구청,02-2620-3404,,684,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동서로 367,서울특별시 양천구 신정동 322,37.5165199,126.8633396,2021-06-21
찾아가는 유랑극단 궁전의여인들,해누리타운 해누리홀,1999년 서울변두리 서민의 삶을 그린 코믹연극,2019-05-13,2019-05-13,19:30,21:00,무료,비상,서울특별시 양천구청,02-2620-3404,,350,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동동로 81,서울특별시 양천구 신정동 322-11,37.5159763,126.8638564,2021-06-21
예술로 동행 무아지경,해누리타운 해누리홀,태평성대 등 전통무용의 대향연,2019-07-09,2019-07-09,19:30,20:40,무료,서울시무용단,서울특별시 양천구청,02-2620-3404,,350,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동동로 81,서울특별시 양천구 신정동 322-11,37.5159763,126.8638564,2021-06-21
클릭 클래식여행,양천문화회관 대극장,"정상급 성악가들의 오페라 아리아, 듀엣, 샹송의 대향연",2019-09-25,2019-09-25,19:30,20:50,무료,서울아레나오페라단,서울특별시 양천구청,02-2620-3404,,684,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동서로 367,서울특별시 양천구 신정동 322,37.5165199,126.8633396,2021-06-21
오케스트라 동아리 페스티벌,양천문화회관 대극장,관내 초중고 오케스트라 동아리들의 공연,2019-10-14,2019-10-14,19:00,21:00,무료,M&P 챔버,서울특별시 양천구청,02-2620-3404,,684,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동서로 367,서울특별시 양천구 신정동 322,37.5165199,126.8633396,2021-06-21
뮤지컬 갈라콘서트,양천문화회관 대극장,서울시 뮤지컬단의 뮤지컬 하이라이트 콘서트,2019-10-25,2019-10-25,19:30,20:40,무료,서울시무용단,서울특별시 양천구청,02-2620-3404,,684,무료,전체 연령,,,www.yangcheon.go.kr,,Y,서울특별시 양천구 목동서로 367,서울특별시 양천구 신정동 322,37.5165199,126.8633396,2021-06-21
