행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
신년해맞이(취소),개운산 공원 운동장,"해맞이, 소원풍선날리기, 대북타고, 축하공연 등",2022-01-01,2022-01-01,7:00,9:00,무료,서울특별시성북구청,성북구청,02-2241-2603,,,무료,,,,http://www.sb.go.kr/,,,,서울특별시 성북구 돈암동,37.5980638,127.0231589,2022-03-07
세계음식축제 (미정),성북동 성북로 일대,"국가대표요리사, 우리동네요리사, 지구만물장, 누리마실퍼레이드 등(행사시작일 종료일 미정)",2022-10-01,2022-11-30,9:00,18:00,무료,서울특별시성북구청+성북문화재단,성북문화재단,02-6906-3106,,,무료,,,,http://nurimasil.net/,,,,서울특별시 성북구 성북동 142-1,37.59274331,127.0023683,2022-03-07
성북문화바캉스,중랑우이천 합류부 다목적광장,공연장에서 구민과 함께하는 음악 연주회,2022-10-01,2022-11-30,9:00,18:00,무료,서울특별시성북구청+성북문화재단,성북문화재단,02-6906-3106,,,무료,,,,https://www.sbculture.or.kr,,,,서울특별시 성북구 길음동 1286-8,37.60375093,127.0224636,2022-03-07
성북동 밤마실,성북동 성북로 일대,"야간 문화재 관람 및 체험, 공연 등(행사시작일 종료일 미정)",2022-10-01,2022-10-30,9:00,18:00,무료,서울특별시성북구청+성북문화원,성북문화원,02-765-1611,,,무료,,,,https://sbnightroad.com/,,,,서울특별시 성북구 성북동 142-1,37.59274331,127.0023683,2022-03-07
성북페스티벌,성북구청 바람마당,온라인 연극 공연,2022-10-12,2022-10-31,9:00,18:00,무료,서울특별시성북구청,성북연극협회,02-924-0939,,,무료,,,,http://www.sb.go.kr/,,,,서울특별시 성북구 동선동2가 2-13,37.58980759,127.0174512,2022-03-07
삼선 선녀축제(미정),삼선교 분수마루,"선녀하강퍼포먼스, 퍼레이드, 주민화합한마당, 노래자랑 등(행사시작일 종료일 미정)",2022-10-01,2022-11-30,9:00,18:00,무료,서울특별시성북구청,선녀축제추진위원회,02-2241-5041,,,무료,,,,,,,,서울특별시 성북구 동소문동2가 130-2,37.58801673,127.0071293,2022-03-07
정릉 버들잎축제(미정),정릉시장 주민마당,"어가행렬, 문화예술공연, 태평가, 참여 및 체험프로그램 등(행사시작일 종료일 미정)",2022-10-01,2022-10-31,9:00,18:00,무료,서울특별시성북구청,버들잎축제추진위원회,02-2241-5281,,,무료,,,,,,,,서울특별시 성북구 정릉동 396-7,37.6086399,127.0087671,2022-03-07
장위 부마축제(미정),"부마가옥, 장위초등학교","부마전통혼례재현, 퍼레이드, 폐백식, 주민화합한마당, 체험프로그램 등(행사시작일 종료일 미정)",2022-10-01,2022-10-31,9:00,18:00,무료,서울특별시성북구청,부마축제추진위원회,02-2241-5681,,,무료,,,,,,,서울특별시 성북구 장월로8가길 41,,37.6114417,127.0500057,2022-03-07
석관 의릉문화제(미정),"의릉, 석관초등학교 앞","어가행렬, 문화예술공연, 참여 및 체험프로그램 등(행사시작일 종료일 미정)",2022-10-01,2022-10-31,9:00,18:00,무료,서울특별시성북구청,의릉축제추진위원회,02-2241-5761,,,무료,,,,,,,,서울특별시 성북구 석관동 202-3,37.61012076,127.0584968,2022-03-07
