행사명,장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
우리동네음악회,서대문형무소 역사관,서울시립교향악단 공연,2019-06-12,2019-06-12,19:30,유료,서울시립교향악단,서울특별시 서대문구청,02-330-1410,우리은행,,무료,초등학생이상,,,http://www.sdm.go.kr,"전화, 인터넷접수",Y,서울특별시 서대문구 통일로 251 서대문형무소역사관,서울특별시 서대문구 현저동 101 서대문형무소역사관,37.564089,126.9367922,2019-07-18
안산해맞이,안산봉수대,"해맞이기원, 포토존, 새해 소망엽서작성",2019-01-01,2019-01-01,06:30~08:30,무료,서울특별시 서대문문화원,서울특별시 서대문구청,02-330-1550,,,,,,,http://www.sdm.go.kr,,N,서울특별시 서대문구 연희로 248,서울특별시 서대문구 연희동 168-6,37.579248,126.936643,2019-07-18
안산벚꽃음악회,안산연희숲속쉼터,벚꽃음악회,2019-04-05,2019-04-07,"14:00, 19:00",무료,서울특별시 서대문구청,서울특별시 서대문구청,02-330-1410,,,,,,,http://www.sdm.go.kr,,N,서울특별시 서대문구 연희로 248,서울특별시 서대문구 연희동 168-6,37.579248,126.936643,2019-07-18
