행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
김뻑국의 팔도유람 재담공연,남인사마당,"재담, 전통국악공연",2020-10-09,2020-10-09,14:00,15:30,무료,김뻑국예술단,김뻑국예술단,02-3673-4667,종로구,,무료,전 연령 관람 가능,,,,,N,서울특별시 종로구 인사동길 6,서울특별시 종로구 인사동 43-2,37.5714836,126.9873355,2021-03-23
전통국악공연,남인사마당,전통국악공연,2020-10-03,2020-10-03,15:00,19:00,무료,인사동예술촌,인사동예술촌,02-745-5678,종로구,,무료,전 연령 관람 가능,,,,,N,서울특별시 종로구 인사동길 6,서울특별시 종로구 인사동 43-2,37.5714836,126.9873355,2021-03-23
