"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 01월 24일","7,849","8,216","8,216","7,539","168.03K","-4.47%"
"2022년 01월 21일","8,216","8,508","8,555","8,198","200.76K","-3.00%"
"2022년 01월 20일","8,470","8,085","8,574","8,085","337.75K","4.65%"
"2022년 01월 19일","8,094","8,103","8,282","8,066","82.92K","-1.15%"
"2022년 01월 18일","8,188","8,282","8,423","8,160","96.51K","-1.14%"
"2022년 01월 17일","8,282","8,518","8,518","8,254","121.19K","-2.76%"
"2022년 01월 14일","8,518","8,687","8,856","8,499","258.09K","-2.16%"
"2022년 01월 13일","8,706","8,630","8,800","8,414","320.95K","1.76%"
"2022년 01월 12일","8,555","8,470","8,565","8,358","272.91K","2.60%"
"2022년 01월 11일","8,339","8,141","8,358","8,075","104.85K","1.96%"
"2022년 01월 10일","8,179","8,263","8,273","8,141","45.81K","-6.42%"
"2022년 01월 09일","8,740","8,740","8,740","8,740","-","6.25%"
"2022년 01월 07일","8,226","8,188","8,339","8,188","83.55K","0.34%"
"2022년 01월 06일","8,198","8,245","8,301","8,094","100.23K","-1.58%"
"2022년 01월 05일","8,329","8,282","8,433","8,282","295.05K","0.57%"
"2022년 01월 04일","8,282","8,132","8,292","8,047","215.61K","3.17%"
"2022년 01월 03일","8,028","8,028","8,047","7,953","51.45K","0.95%"
"2021년 12월 30일","7,953","7,849","7,962","7,840","82.26K","1.08%"
"2021년 12월 29일","7,868","7,830","7,896","7,736","49.20K","0.48%"
"2021년 12월 28일","7,830","7,906","7,925","7,783","81.07K","-0.95%"
"2021년 12월 27일","7,906","7,896","7,934","7,821","44.89K","-5.77%"
"2021년 12월 26일","8,390","8,390","8,390","8,390","-","6.25%"
"2021년 12월 24일","7,896","7,878","7,972","7,849","34.28K","0.96%"
"2021년 12월 23일","7,821","7,783","8,075","7,708","122.23K","0.61%"
"2021년 12월 22일","7,774","7,708","7,830","7,708","25.70K","1.10%"
"2021년 12월 21일","7,689","7,727","7,774","7,642","42.82K","-0.37%"
"2021년 12월 20일","7,718","7,821","7,868","7,718","68.44K","-2.61%"
"2021년 12월 17일","7,925","7,840","8,075","7,840","57.78K","0.48%"
"2021년 12월 16일","7,887","7,925","8,028","7,887","54.84K","0.00%"
"2021년 12월 15일","7,887","7,934","7,981","7,859","37.92K","-0.12%"
"2021년 12월 14일","7,896","8,038","8,038","7,887","39.64K","-1.76%"
"2021년 12월 13일","8,038","8,047","8,066","7,972","39.57K","1.07%"
"2021년 12월 10일","7,953","8,000","8,019","7,925","38.20K","-0.35%"
"2021년 12월 09일","7,981","7,972","8,103","7,972","26.39K","0.24%"
"2021년 12월 08일","7,962","8,047","8,113","7,962","76.14K","-0.47%"
"2021년 12월 07일","8,000","7,981","8,094","7,943","40.69K","-0.12%"
"2021년 12월 06일","8,009","7,943","8,019","7,689","37.16K","0.35%"
"2021년 12월 03일","7,981","7,830","7,990","7,783","68.35K","1.92%"
"2021년 12월 02일","7,830","7,586","7,849","7,445","80.59K","1.84%"
"2021년 12월 01일","7,689","7,256","7,689","6,710","127.41K","4.74%"
"2021년 11월 30일","7,341","7,755","7,812","7,247","182.70K","-4.76%"
"2021년 11월 29일","7,708","7,718","7,878","7,670","125.28K","-3.42%"
"2021년 11월 26일","7,981","8,103","8,235","7,972","94.15K","-2.42%"
"2021년 11월 25일","8,179","8,386","8,386","8,169","70.63K","-1.92%"
"2021년 11월 24일","8,339","8,423","8,442","8,245","99.61K","-0.78%"
"2021년 11월 23일","8,405","8,461","8,583","8,395","105.88K","0.11%"
"2021년 11월 22일","8,395","8,640","8,715","8,320","206.37K","-2.73%"
"2021년 11월 19일","8,630","8,743","8,828","8,574","237.17K","-2.45%"
"2021년 11월 18일","8,847","8,922","9,092","8,790","808.01K","1.62%"
"2021년 11월 17일","8,706","8,800","8,979","8,574","524.58K","3.70%"
"2021년 11월 16일","8,395","8,395","8,442","8,263","113.51K","-0.33%"
"2021년 11월 15일","8,423","8,301","8,565","8,301","156.31K","2.29%"
"2021년 11월 12일","8,235","7,859","8,263","7,859","130.29K","4.54%"
"2021년 11월 11일","7,878","7,915","8,000","7,774","100.18K","-1.06%"
"2021년 11월 10일","7,962","8,216","8,254","7,934","111.78K","-3.31%"
"2021년 11월 09일","8,235","8,282","8,414","8,169","81.39K","-0.57%"
"2021년 11월 08일","8,282","8,442","8,442","8,188","80.40K","0.57%"
"2021년 11월 05일","8,235","8,254","8,348","8,000","102.79K","-0.57%"
"2021년 11월 04일","8,282","8,386","8,452","8,254","71.91K","-1.01%"
"2021년 11월 03일","8,367","8,386","8,480","8,254","137.40K","-0.11%"
"2021년 11월 02일","8,376","8,414","8,536","8,376","70.35K","0.34%"
"2021년 11월 01일","8,348","8,508","8,555","8,329","101.04K","-1.88%"
"2021년 10월 29일","8,508","8,612","8,753","8,508","73.21K","-0.66%"
"2021년 10월 28일","8,565","8,734","8,781","8,565","108.67K","-1.94%"
"2021년 10월 27일","8,734","8,781","8,800","8,715","161.68K","-0.21%"
"2021년 10월 26일","8,753","8,809","8,856","8,696","130.10K","-0.64%"
"2021년 10월 25일","8,809","8,743","9,082","8,612","217.92K","1.30%"
"2021년 10월 22일","8,696","8,743","8,894","8,640","154.99K","-1.49%"
"2021년 10월 21일","8,828","9,233","9,270","8,828","209.86K","0.11%"
"2021년 10월 20일","8,819","8,941","8,979","8,772","163.31K","-1.78%"
"2021년 10월 19일","8,979","9,176","9,214","8,866","164.62K","-2.25%"
"2021년 10월 18일","9,186","8,828","9,308","8,640","345.11K","-0.70%"
"2021년 10월 17일","9,250","9,250","9,250","9,250","-","6.25%"
"2021년 10월 15일","8,706","8,753","8,800","8,612","92.33K","0.65%"
"2021년 10월 14일","8,649","8,442","8,706","8,442","92.24K","2.68%"
"2021년 10월 13일","8,423","8,113","8,452","8,113","79.46K","2.87%"
"2021년 10월 12일","8,188","8,292","8,395","8,150","103.05K","-8.51%"
"2021년 10월 11일","8,950","8,950","8,950","8,950","-","6.25%"
"2021년 10월 08일","8,423","8,423","8,612","8,339","121.44K","1.59%"
"2021년 10월 07일","8,292","8,028","8,301","8,028","108.21K","3.65%"
"2021년 10월 06일","8,000","8,339","8,574","7,962","174.22K","-4.06%"
"2021년 10월 05일","8,339","8,536","8,630","8,113","236.20K","-9.36%"
"2021년 10월 04일","9,200","9,200","9,200","9,200","-","6.25%"
"2021년 10월 01일","8,659","9,082","9,139","8,640","226.82K","-5.25%"
"2021년 09월 30일","9,139","8,828","9,242","8,828","164.14K","2.75%"
"2021년 09월 29일","8,894","8,894","9,063","8,743","162.49K","-1.77%"
"2021년 09월 28일","9,054","9,346","9,355","9,054","176.00K","-2.93%"
"2021년 09월 27일","9,327","9,252","9,459","9,223","204.99K","1.64%"
"2021년 09월 24일","9,176","9,261","9,506","8,960","204.88K","-0.71%"
"2021년 09월 23일","9,242","9,412","9,459","9,195","199.69K","-8.04%"
"2021년 09월 22일","10,050","10,050","10,050","10,050","-","6.25%"
"2021년 09월 17일","9,459","9,694","9,694","9,402","258.36K","-2.90%"
"2021년 09월 16일","9,741","9,694","9,788","9,459","184.57K","1.47%"
"2021년 09월 15일","9,600","9,929","10,165","9,553","470.74K","-1.45%"
"2021년 09월 14일","9,741","9,835","9,976","9,600","332.39K","-0.96%"
"2021년 09월 13일","9,835","10,165","10,165","9,741","385.20K","-0.95%"
"2021년 09월 10일","9,929","9,882","10,259","9,788","513.68K","1.44%"
"2021년 09월 09일","9,788","10,259","10,823","9,694","1.18M","-4.59%"
"2021년 09월 08일","10,259","9,600","10,353","9,506","1.18M","7.39%"
"2021년 09월 07일","9,553","9,355","9,553","9,317","301.25K","2.11%"
"2021년 09월 06일","9,355","9,374","9,393","9,129","238.09K","-4.44%"
"2021년 09월 05일","9,790","9,790","9,790","9,790","-","6.25%"
"2021년 09월 03일","9,214","9,270","9,270","9,129","141.07K","0.00%"
"2021년 09월 02일","9,214","9,026","9,355","8,941","367.43K","2.41%"
"2021년 09월 01일","8,997","8,753","9,007","8,753","159.50K","2.14%"
"2021년 08월 31일","8,809","8,781","8,837","8,677","76.46K","0.43%"
"2021년 08월 30일","8,772","8,762","8,837","8,659","92.34K","0.76%"
"2021년 08월 27일","8,706","8,668","8,743","8,565","85.98K","0.33%"
"2021년 08월 26일","8,677","8,602","8,762","8,574","109.79K","0.87%"
"2021년 08월 25일","8,602","8,555","8,621","8,414","85.41K","0.77%"
"2021년 08월 24일","8,536","8,188","8,602","8,188","176.69K","4.49%"
"2021년 08월 23일","8,169","8,038","8,254","7,925","115.22K","-4.23%"
"2021년 08월 22일","8,530","8,530","8,530","8,530","-","6.25%"
"2021년 08월 20일","8,028","8,518","8,649","8,000","257.84K","-5.64%"
"2021년 08월 19일","8,508","8,997","8,997","8,508","321.01K","-5.54%"
"2021년 08월 18일","9,007","9,063","9,186","8,894","295.45K","-0.73%"
"2021년 08월 17일","9,073","9,063","9,261","8,819","470.96K","0.10%"
"2021년 08월 13일","9,063","9,223","9,233","8,885","151.41K","-1.83%"
"2021년 08월 12일","9,233","8,922","9,261","8,856","193.17K","3.81%"
"2021년 08월 11일","8,894","9,082","9,223","8,866","141.74K","-2.07%"
"2021년 08월 10일","9,082","9,308","9,317","9,054","155.68K","-2.43%"
"2021년 08월 09일","9,308","9,308","9,336","9,214","121.41K","0.00%"
"2021년 08월 06일","9,308","9,459","9,459","9,223","158.55K","-1.00%"
"2021년 08월 05일","9,402","9,214","9,459","9,110","258.12K","2.04%"
"2021년 08월 04일","9,214","8,960","9,223","8,941","126.58K","3.16%"
"2021년 08월 03일","8,932","9,129","9,167","8,800","212.38K","-1.96%"
"2021년 08월 02일","9,110","9,412","9,412","9,073","265.65K","-8.62%"
"2021년 08월 01일","9,970","9,970","9,970","9,970","-","6.25%"
"2021년 07월 30일","9,383","9,459","9,694","9,336","255.05K","-0.30%"
"2021년 07월 29일","9,412","9,647","9,694","9,393","216.14K","-1.48%"
"2021년 07월 28일","9,553","9,600","9,882","9,317","500.04K","0.00%"
"2021년 07월 27일","9,553","9,506","9,835","9,383","532.19K","0.99%"
"2021년 07월 26일","9,459","9,600","9,694","9,365","486.99K","-5.88%"
"2021년 07월 25일","10,050","10,050","10,050","10,050","-","6.25%"
"2021년 07월 23일","9,459","9,270","9,694","9,148","698.95K","3.50%"
"2021년 07월 22일","9,139","8,903","9,327","8,894","308.34K","3.30%"
"2021년 07월 21일","8,847","8,969","9,045","8,800","143.30K","-1.16%"
"2021년 07월 20일","8,950","8,969","9,092","8,866","232.66K","-2.46%"
"2021년 07월 19일","9,176","9,393","9,393","9,082","296.06K","-8.69%"
"2021년 07월 18일","10,050","10,050","10,050","10,050","-","6.25%"
"2021년 07월 16일","9,459","9,412","9,506","9,148","498.03K","-0.50%"
"2021년 07월 15일","9,506","9,299","9,506","9,073","828.44K","3.91%"
"2021년 07월 14일","9,148","9,139","9,289","9,035","310.85K","0.21%"
"2021년 07월 13일","9,129","8,819","9,223","8,687","643.64K","4.75%"
"2021년 07월 12일","8,715","8,621","8,762","8,593","98.98K","1.54%"
"2021년 07월 09일","8,583","8,762","8,828","8,433","287.45K","-3.19%"
"2021년 07월 08일","8,866","8,950","9,063","8,725","243.49K","-1.15%"
"2021년 07월 07일","8,969","9,035","9,092","8,922","163.06K","-1.75%"
"2021년 07월 06일","9,129","8,969","9,195","8,903","409.91K","1.89%"
"2021년 07월 05일","8,960","8,969","9,082","8,922","273.69K","1.17%"
"2021년 07월 02일","8,856","8,913","8,988","8,800","129.97K","-0.53%"
"2021년 07월 01일","8,903","8,856","8,950","8,753","207.75K","1.18%"
"2021년 06월 30일","8,800","8,828","8,922","8,762","60.79K","-0.32%"
"2021년 06월 29일","8,828","8,941","8,988","8,715","168.75K","-1.05%"
"2021년 06월 28일","8,922","8,866","9,092","8,837","198.22K","0.64%"
"2021년 06월 25일","8,866","9,063","9,092","8,809","287.53K","-1.77%"
"2021년 06월 24일","9,026","8,847","9,092","8,753","638.46K","2.57%"
"2021년 06월 23일","8,800","8,659","8,828","8,659","220.32K","2.07%"
"2021년 06월 22일","8,621","8,536","8,753","8,536","120.09K","1.44%"
"2021년 06월 21일","8,499","8,659","8,706","8,470","189.72K","-8.52%"
"2021년 06월 20일","9,290","9,290","9,290","9,290","-","6.25%"
"2021년 06월 18일","8,743","8,800","8,809","8,715","131.25K","-1.06%"
"2021년 06월 17일","8,837","8,809","8,885","8,772","72.47K","-0.21%"
"2021년 06월 16일","8,856","8,847","8,922","8,790","100.10K","0.11%"
"2021년 06월 15일","8,847","8,828","8,932","8,809","128.93K","0.21%"
"2021년 06월 14일","8,828","8,866","8,903","8,772","75.83K","-5.99%"
"2021년 06월 13일","9,390","9,390","9,390","9,390","-","6.25%"
"2021년 06월 11일","8,837","8,677","8,847","8,659","138.55K","2.07%"
"2021년 06월 10일","8,659","8,593","8,762","8,583","84.75K","0.77%"
"2021년 06월 09일","8,593","8,734","8,734","8,583","135.79K","-1.62%"
"2021년 06월 08일","8,734","8,743","8,819","8,668","137.16K","-0.11%"
"2021년 06월 07일","8,743","8,913","8,922","8,715","148.38K","-1.69%"
"2021년 06월 04일","8,894","8,828","8,941","8,743","140.03K","0.32%"
"2021년 06월 03일","8,866","8,866","8,969","8,837","189.45K","0.11%"
"2021년 06월 02일","8,856","8,828","8,913","8,762","173.22K","0.75%"
"2021년 06월 01일","8,790","8,772","8,960","8,734","178.29K","0.76%"
"2021년 05월 31일","8,725","8,960","8,979","8,715","183.33K","-2.11%"
"2021년 05월 28일","8,913","8,979","9,054","8,913","193.24K","0.42%"
"2021년 05월 27일","8,875","8,913","8,979","8,800","163.46K","-0.21%"
"2021년 05월 26일","8,894","8,677","8,903","8,518","526.52K","2.83%"
"2021년 05월 25일","8,649","8,508","8,894","8,423","558.70K","2.91%"
"2021년 05월 24일","8,405","8,470","8,546","8,329","192.47K","-6.72%"
"2021년 05월 23일","9,010","9,010","9,010","9,010","-","6.25%"
"2021년 05월 21일","8,480","8,725","8,753","8,480","327.70K","-2.17%"
"2021년 05월 20일","8,668","9,157","9,233","8,630","734.28K","-11.73%"
"2021년 05월 19일","9,820","9,820","9,820","9,820","-","6.25%"
"2021년 05월 18일","9,242","9,120","9,506","9,092","427.04K","1.13%"
"2021년 05월 17일","9,139","9,647","9,694","9,092","685.50K","-3.38%"
"2021년 05월 14일","9,459","9,553","9,741","9,167","804.18K","0.00%"
"2021년 05월 13일","9,459","9,741","10,306","9,393","873.04K","-6.08%"
"2021년 05월 12일","10,070","10,494","10,729","9,835","991.18K","-3.17%"
"2021년 05월 11일","10,400","9,788","11,388","9,459","4.92M","6.76%"
"2021년 05월 10일","9,741","9,929","10,023","9,694","527.38K","-0.48%"
"2021년 05월 07일","9,788","10,165","10,259","9,694","845.35K","-4.59%"
"2021년 05월 06일","10,259","9,694","10,353","9,412","1.50M","0.57%"
"2021년 05월 05일","10,200","10,200","10,200","10,200","-","6.25%"
"2021년 05월 04일","9,600","9,082","9,929","9,054","2.54M","6.70%"
"2021년 05월 03일","8,997","9,148","9,261","8,809","485.99K","-6.57%"
"2021년 05월 02일","9,630","9,630","9,630","9,630","-","6.25%"
"2021년 04월 30일","9,063","9,393","10,165","8,988","1.84M","1.80%"
"2021년 04월 29일","8,903","8,555","9,035","8,414","787.65K","4.65%"
"2021년 04월 28일","8,508","9,063","9,120","8,423","791.23K","-7.19%"
"2021년 04월 27일","9,167","8,565","9,402","8,508","1.65M","7.03%"
"2021년 04월 26일","8,565","8,612","8,762","8,518","564.40K","1.34%"
"2021년 04월 23일","8,452","8,009","8,452","7,962","577.59K","5.40%"
"2021년 04월 22일","8,019","7,915","8,019","7,896","191.49K","1.31%"
"2021년 04월 21일","7,915","8,000","8,000","7,887","159.43K","-1.06%"
"2021년 04월 20일","8,000","7,962","8,019","7,906","182.72K","0.47%"
"2021년 04월 19일","7,962","8,113","8,122","7,868","432.28K","-8.48%"
"2021년 04월 18일","8,700","8,700","8,700","8,700","-","6.25%"
"2021년 04월 16일","8,188","8,160","8,226","8,150","104.65K","0.11%"
"2021년 04월 15일","8,179","8,160","8,198","8,122","109.46K","-0.23%"
"2021년 04월 14일","8,198","8,282","8,282","8,122","73.73K","0.00%"
"2021년 04월 13일","8,198","8,310","8,329","8,150","138.45K","-0.80%"
"2021년 04월 12일","8,263","8,226","8,301","8,141","193.15K","0.23%"
"2021년 04월 09일","8,245","8,329","8,339","8,198","67.38K","-0.46%"
"2021년 04월 08일","8,282","8,216","8,301","8,160","121.73K","0.57%"
"2021년 04월 07일","8,235","8,329","8,329","8,113","124.02K","-0.46%"
"2021년 04월 06일","8,273","8,188","8,310","8,038","187.59K","1.85%"
"2021년 04월 05일","8,122","8,000","8,263","7,953","215.36K","2.13%"
"2021년 04월 02일","7,953","8,000","8,000","7,849","116.13K","-0.47%"
"2021년 04월 01일","7,990","8,056","8,141","7,953","68.58K","-0.82%"
"2021년 03월 31일","8,056","7,990","8,122","7,972","124.98K","0.94%"
"2021년 03월 30일","7,981","8,094","8,094","7,934","80.19K","-0.24%"
"2021년 03월 29일","8,000","7,896","8,226","7,793","187.44K","-4.08%"
"2021년 03월 28일","8,340","8,340","8,340","8,340","-","6.25%"
"2021년 03월 26일","7,849","7,793","7,925","7,774","65.90K","0.48%"
"2021년 03월 25일","7,812","7,934","7,953","7,755","98.65K","-1.07%"
"2021년 03월 24일","7,896","7,906","7,972","7,765","74.49K","-0.12%"
"2021년 03월 23일","7,906","8,188","8,188","7,887","173.37K","-3.34%"
"2021년 03월 22일","8,179","8,094","8,329","7,962","376.18K","-3.33%"
"2021년 03월 21일","8,460","8,460","8,460","8,460","-","6.25%"
"2021년 03월 19일","7,962","7,736","8,075","7,670","168.98K","3.17%"
"2021년 03월 18일","7,718","7,906","7,915","7,670","158.56K","1.75%"
"2021년 03월 17일","7,584","7,494","7,650","7,477","208.10K","0.44%"
"2021년 03월 16일","7,552","7,535","7,692","7,510","203.86K","0.44%"
"2021년 03월 15일","7,519","7,494","7,601","7,428","119.68K","0.44%"
"2021년 03월 12일","7,486","7,510","7,510","7,420","137.23K","1.23%"
"2021년 03월 11일","7,395","7,288","7,461","7,288","123.27K","1.35%"
"2021년 03월 10일","7,296","7,510","7,535","7,272","144.83K","-1.77%"
"2021년 03월 09일","7,428","7,428","7,510","7,230","225.45K","0.00%"
"2021년 03월 08일","7,428","7,790","7,807","7,428","322.78K","-21.23%"
"2021년 03월 07일","9,430","9,430","9,430","9,430","-","21.43%"
"2021년 03월 05일","7,766","7,584","7,815","7,288","809.48K","2.39%"
"2021년 03월 04일","7,584","7,568","7,864","7,428","391.16K","-0.54%"
"2021년 03월 03일","7,626","7,272","7,700","7,272","342.71K","4.28%"
"2021년 03월 02일","7,313","7,675","7,700","7,263","391.08K","-4.00%"
"2021년 02월 26일","7,617","7,477","8,054","7,354","918.79K","-1.60%"
"2021년 02월 25일","7,741","7,230","7,823","7,156","934.06K","9.68%"
"2021년 02월 24일","7,057","7,420","7,502","6,753","323.01K","-4.78%"
"2021년 02월 23일","7,412","7,683","7,864","7,395","550.75K","-5.36%"
"2021년 02월 22일","7,832","7,716","8,070","7,576","1.29M","2.59%"
"2021년 02월 19일","7,634","7,461","7,659","7,304","593.38K","3.23%"
"2021년 02월 18일","7,395","7,543","7,617","7,296","282.27K","-0.88%"
"2021년 02월 17일","7,461","7,675","7,790","7,288","716.25K","-1.09%"
"2021년 02월 16일","7,543","7,099","7,601","7,099","871.46K","6.51%"
