"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 04일","2,675","2,610","2,675","2,565","194.08K","3.28%"
"2020년 03월 03일","2,590","2,575","2,635","2,575","89.59K","2.17%"
"2020년 03월 02일","2,535","2,440","2,535","2,415","81.12K","4.32%"
"2020년 03월 01일","2,430","2,430","2,430","2,430","-","0.00%"
"2020년 02월 28일","2,430","2,505","2,540","2,430","263.16K","-5.08%"
"2020년 02월 27일","2,560","2,635","2,660","2,560","127.20K","-3.03%"
"2020년 02월 26일","2,640","2,665","2,665","2,600","68.58K","-2.04%"
"2020년 02월 25일","2,695","2,515","2,695","2,515","171.79K","4.05%"
"2020년 02월 24일","2,590","2,685","2,685","2,570","293.90K","-5.13%"
"2020년 02월 21일","2,730","2,795","2,815","2,700","195.00K","-3.36%"
"2020년 02월 20일","2,825","2,870","2,875","2,800","169.77K","-1.05%"
"2020년 02월 19일","2,855","2,895","2,900","2,815","139.07K","-0.52%"
"2020년 02월 18일","2,870","2,935","2,940","2,840","221.24K","-2.21%"
"2020년 02월 17일","2,935","2,960","2,970","2,910","63.49K","-0.84%"
"2020년 02월 14일","2,960","2,995","2,995","2,920","89.62K","-0.17%"
"2020년 02월 13일","2,965","3,020","3,020","2,930","97.47K","-1.17%"
"2020년 02월 12일","3,000","3,000","3,015","2,965","39.14K","0.00%"
"2020년 02월 11일","3,000","3,015","3,040","2,980","77.05K","-1.15%"
"2020년 02월 10일","3,035","3,005","3,050","2,965","119.25K","1.00%"
"2020년 02월 09일","3,005","3,005","3,005","3,005","-","0.00%"
"2020년 02월 07일","3,005","2,975","3,015","2,925","56.28K","1.35%"
"2020년 02월 06일","2,965","2,885","2,995","2,885","121.55K","1.54%"
"2020년 02월 05일","2,920","2,910","2,930","2,890","39.47K","0.34%"
"2020년 02월 04일","2,910","2,840","2,910","2,825","47.64K","3.74%"
"2020년 02월 03일","2,805","2,720","2,820","2,690","199.82K","0.54%"
"2020년 01월 31일","2,790","2,910","2,950","2,760","216.47K","-4.45%"
"2020년 01월 30일","2,920","2,970","2,990","2,900","144.65K","-1.35%"
"2020년 01월 29일","2,960","2,935","2,990","2,935","48.16K","0.68%"
"2020년 01월 28일","2,940","2,930","2,960","2,895","176.00K","-2.16%"
"2020년 01월 23일","3,005","3,025","3,035","2,995","57.23K","-0.50%"
"2020년 01월 22일","3,020","2,980","3,025","2,970","54.32K","1.34%"
"2020년 01월 21일","2,980","3,005","3,020","2,955","74.32K","-1.32%"
"2020년 01월 20일","3,020","3,075","3,090","2,995","97.19K","-1.63%"
"2020년 01월 17일","3,070","3,075","3,095","3,055","73.97K","-0.16%"
"2020년 01월 16일","3,075","3,055","3,090","3,040","105.01K","0.00%"
"2020년 01월 15일","3,075","3,025","3,080","3,025","139.21K","1.65%"
"2020년 01월 14일","3,025","3,085","3,085","3,020","95.51K","-1.31%"
"2020년 01월 13일","3,065","3,060","3,075","3,000","156.19K","0.66%"
"2020년 01월 10일","3,045","3,035","3,050","3,000","127.96K","0.33%"
"2020년 01월 09일","3,035","2,940","3,050","2,925","184.13K","5.75%"
"2020년 01월 08일","2,870","2,985","3,000","2,780","321.10K","-4.49%"
"2020년 01월 07일","3,005","3,010","3,050","3,005","92.25K","0.17%"
"2020년 01월 06일","3,000","3,035","3,075","2,985","138.06K","-2.91%"
"2020년 01월 03일","3,090","3,070","3,110","3,050","264.76K","0.65%"
"2020년 01월 02일","3,070","3,015","3,085","3,015","106.19K","0.82%"
