"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 19일","2,155","2,095","2,255","2,080","0.62K","4.11%"
"2021년 10월 18일","2,070","2,075","2,165","2,035","1.03M","0.24%"
"2021년 10월 15일","2,065","2,045","2,095","2,025","1.25M","0.49%"
"2021년 10월 14일","2,055","1,910","2,230","1,910","1.61K","9.02%"
"2021년 10월 13일","1,885","1,830","1,910","1,830","171.85K","2.17%"
"2021년 10월 12일","1,845","1,890","1,895","1,835","163.11K","-2.38%"
"2021년 10월 11일","1,890","1,890","1,890","1,890","-","0.00%"
"2021년 10월 08일","1,890","1,930","1,935","1,850","269.02K","-1.05%"
"2021년 10월 07일","1,910","1,830","1,910","1,830","137.95K","4.37%"
"2021년 10월 06일","1,830","1,925","1,960","1,830","315.09K","-4.94%"
"2021년 10월 05일","1,925","1,955","1,970","1,900","384.45K","-3.02%"
"2021년 10월 01일","1,985","2,095","2,120","1,980","535.71K","-5.25%"
"2021년 09월 30일","2,095","2,065","2,115","2,060","273.73K","2.44%"
"2021년 09월 29일","2,045","2,070","2,105","2,035","408.01K","-3.08%"
"2021년 09월 28일","2,110","2,135","2,170","2,080","537.56K","-1.40%"
"2021년 09월 27일","2,140","2,075","2,145","2,055","678.92K","4.14%"
"2021년 09월 24일","2,055","2,010","2,070","1,990","248.91K","1.73%"
"2021년 09월 23일","2,020","2,020","2,040","2,010","111.63K","-0.98%"
"2021년 09월 17일","2,040","2,080","2,085","2,035","149.49K","-1.69%"
"2021년 09월 16일","2,075","2,050","2,085","2,050","167.19K","1.22%"
"2021년 09월 15일","2,050","2,090","2,095","2,045","160.69K","-1.68%"
"2021년 09월 14일","2,085","2,075","2,110","2,065","203.07K","-0.24%"
"2021년 09월 13일","2,090","2,065","2,100","2,055","273.20K","1.21%"
"2021년 09월 10일","2,065","2,050","2,075","2,015","205.33K","0.73%"
"2021년 09월 09일","2,050","2,045","2,075","2,035","181.63K","-0.49%"
"2021년 09월 08일","2,060","2,120","2,120","2,060","264.91K","-2.37%"
"2021년 09월 07일","2,110","2,085","2,130","2,085","161.58K","1.44%"
"2021년 09월 06일","2,080","2,085","2,125","2,065","177.16K","-0.72%"
"2021년 09월 05일","2,095","2,095","2,095","2,095","-","0.00%"
"2021년 09월 03일","2,095","2,090","2,095","2,060","128.08K","0.96%"
"2021년 09월 02일","2,075","2,070","2,085","2,055","114.28K","0.00%"
"2021년 09월 01일","2,075","2,045","2,085","2,040","164.82K","1.47%"
"2021년 08월 31일","2,045","2,055","2,055","2,015","201.25K","0.25%"
"2021년 08월 30일","2,040","2,080","2,080","2,040","223.92K","-0.49%"
"2021년 08월 29일","2,050","2,050","2,050","2,050","-","0.00%"
"2021년 08월 27일","2,050","2,060","2,080","2,035","226.58K","-0.97%"
