"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 03일","12,650","12,400","12,800","12,050","81.96K","2.02%"
"2021년 05월 02일","12,400","12,400","12,400","12,400","-","0.00%"
"2021년 04월 30일","12,400","12,400","12,600","12,000","67.97K","0.40%"
"2021년 04월 29일","12,350","12,450","12,800","12,050","94.66K","-0.80%"
"2021년 04월 28일","12,450","12,850","13,050","12,100","141.63K","-2.73%"
"2021년 04월 27일","12,800","12,700","12,850","12,400","102.42K","0.39%"
"2021년 04월 26일","12,750","12,400","12,800","12,350","181.28K","2.41%"
"2021년 04월 25일","12,450","12,450","12,450","12,450","-","0.00%"
"2021년 04월 23일","12,450","12,400","12,450","12,200","112.68K","0.00%"
"2021년 04월 22일","12,450","12,350","12,500","12,250","140.22K","0.81%"
"2021년 04월 21일","12,350","13,000","13,050","12,350","265.84K","-6.44%"
"2021년 04월 20일","13,200","12,950","13,600","12,800","493.42K","0.76%"
"2021년 04월 19일","13,100","14,050","14,700","13,000","940.84K","-7.75%"
"2021년 04월 18일","14,200","14,200","14,200","14,200","-","0.00%"
"2021년 04월 16일","14,200","12,050","15,600","11,850","4.97M","16.87%"
"2021년 04월 15일","12,150","10,700","13,650","10,650","2.10M","15.71%"
"2021년 04월 14일","10,500","10,400","10,700","10,200","65.87K","0.96%"
"2021년 04월 13일","10,400","10,500","10,950","10,050","112.37K","0.00%"
"2021년 04월 12일","10,400","10,100","10,600","9,920","92.06K","4.00%"
"2021년 04월 11일","10,000","10,000","10,000","10,000","-","0.00%"
"2021년 04월 09일","10,000","9,920","10,050","9,700","103.16K","0.00%"
"2021년 04월 08일","10,000","11,550","11,550","9,930","330.02K","-7.83%"
"2021년 04월 07일","10,850","10,750","11,150","10,400","139.96K","0.93%"
"2021년 04월 06일","10,750","10,550","10,800","10,450","113.50K","1.90%"
"2021년 04월 05일","10,550","10,500","10,850","10,350","192.98K","-2.31%"
"2021년 04월 04일","10,800","10,800","10,800","10,800","-","0.00%"
"2021년 04월 02일","10,800","10,350","10,950","10,150","359.59K","4.85%"
"2021년 04월 01일","10,300","10,000","10,400","9,810","124.88K","3.31%"
"2021년 03월 31일","9,970","10,350","10,400","9,810","231.73K","1.63%"
"2021년 03월 30일","9,810","9,500","9,810","9,420","50.10K","2.94%"
"2021년 03월 29일","9,530","9,700","9,880","9,450","169.05K","0.42%"
"2021년 03월 28일","9,490","9,490","9,490","9,490","-","0.00%"
"2021년 03월 26일","9,490","9,280","9,580","9,080","89.00K","2.15%"
"2021년 03월 25일","9,290","9,700","9,720","9,270","116.93K","0.32%"
"2021년 03월 24일","9,260","9,150","9,390","8,920","65.75K","0.65%"
"2021년 03월 23일","9,200","9,570","9,610","9,200","71.27K","-4.76%"
"2021년 03월 22일","9,660","9,380","9,660","9,220","74.23K","3.87%"
"2021년 03월 21일","9,300","9,300","9,300","9,300","-","0.00%"
"2021년 03월 19일","9,300","9,360","9,440","9,210","84.37K","-3.13%"
"2021년 03월 18일","9,600","9,400","9,640","9,370","68.86K","1.69%"
"2021년 03월 17일","9,440","9,690","9,690","9,300","97.56K","-1.77%"
"2021년 03월 16일","9,610","9,780","9,970","9,550","158.05K","-1.74%"
"2021년 03월 15일","9,780","9,940","10,050","9,590","236.46K","-3.65%"
"2021년 03월 14일","10,150","10,150","10,150","10,150","-","0.00%"
"2021년 03월 12일","10,150","10,650","10,800","10,150","262.45K","-1.93%"
"2021년 03월 11일","10,350","10,050","11,450","9,770","1.89M","7.48%"
"2021년 03월 10일","9,630","9,600","10,200","9,420","367.00K","1.58%"
"2021년 03월 09일","9,480","9,580","9,840","9,210","282.53K","-4.63%"
"2021년 03월 08일","9,940","10,200","10,700","9,600","917.25K","8.04%"
"2021년 03월 07일","9,200","9,200","9,200","9,200","-","0.00%"
"2021년 03월 05일","9,200","9,470","11,250","9,130","4.38M","5.87%"
"2021년 03월 04일","8,690","8,810","9,000","8,640","24.77K","-1.36%"
"2021년 03월 03일","8,810","8,800","8,900","8,630","37.43K","0.23%"
"2021년 03월 02일","8,790","9,210","9,250","8,700","89.33K","-4.04%"
"2021년 03월 01일","9,160","9,160","9,160","9,160","-","0.00%"
"2021년 02월 26일","9,160","8,630","9,950","8,530","1.04M","5.29%"
"2021년 02월 25일","8,700","8,660","8,880","8,530","16.54K","1.99%"
"2021년 02월 24일","8,530","8,660","8,790","8,220","26.41K","-1.39%"
"2021년 02월 23일","8,650","9,050","9,540","8,640","165.75K","-1.48%"
"2021년 02월 22일","8,780","8,700","8,830","8,630","20.99K","2.93%"
"2021년 02월 19일","8,530","8,710","8,760","8,490","10.38K","-2.96%"
"2021년 02월 18일","8,790","8,800","8,880","8,650","14.34K","0.46%"
"2021년 02월 17일","8,750","8,780","8,780","8,530","27.91K","1.27%"
"2021년 02월 16일","8,640","8,570","8,660","8,450","14.11K","1.77%"
"2021년 02월 15일","8,490","8,770","8,770","8,470","9.63K","-0.24%"
"2021년 02월 10일","8,510","8,590","8,590","8,390","4.92K","-0.70%"
"2021년 02월 09일","8,570","8,480","8,620","8,480","13.79K","0.59%"
"2021년 02월 08일","8,520","8,480","8,520","8,380","2.62K","0.95%"
"2021년 02월 05일","8,440","8,410","8,470","8,380","7.00K","0.96%"
"2021년 02월 04일","8,360","8,490","8,750","8,300","14.50K","0.24%"
"2021년 02월 03일","8,340","8,310","8,470","8,200","8.62K","0.36%"
"2021년 02월 02일","8,310","8,350","8,450","8,250","4.64K","-0.36%"
"2021년 02월 01일","8,340","8,100","8,340","7,990","9.96K","2.96%"
"2021년 01월 31일","8,100","8,100","8,100","8,100","-","0.00%"
"2021년 01월 29일","8,100","8,500","8,500","8,100","11.92K","-3.57%"
"2021년 01월 28일","8,400","8,390","8,700","8,280","4.05K","0.12%"
"2021년 01월 27일","8,390","8,530","8,550","8,360","4.86K","0.00%"
"2021년 01월 26일","8,390","8,670","8,670","8,390","14.60K","-3.23%"
"2021년 01월 25일","8,670","8,700","8,710","8,600","7.75K","0.58%"
"2021년 01월 22일","8,620","8,590","8,680","8,590","5.04K","0.35%"
"2021년 01월 21일","8,590","8,640","8,770","8,530","8.68K","-0.23%"
"2021년 01월 20일","8,610","8,820","8,820","8,530","10.95K","-2.49%"
"2021년 01월 19일","8,830","8,510","8,830","8,210","20.20K","3.76%"
"2021년 01월 18일","8,510","8,800","8,800","8,510","9.62K","-2.74%"
"2021년 01월 15일","8,750","8,920","8,940","8,710","5.30K","-1.24%"
"2021년 01월 14일","8,860","8,710","8,870","8,700","12.28K","1.84%"
"2021년 01월 13일","8,700","8,690","8,810","8,650","6.73K","0.46%"
"2021년 01월 12일","8,660","8,880","8,880","8,610","8.81K","-0.57%"
"2021년 01월 11일","8,710","8,950","9,020","8,670","17.79K","-2.35%"
"2021년 01월 08일","8,920","9,150","9,150","8,850","23.41K","-1.98%"
"2021년 01월 07일","9,100","9,070","9,120","8,910","23.90K","1.22%"
"2021년 01월 06일","8,990","9,690","9,800","8,990","115.40K","-1.21%"
"2021년 01월 05일","9,100","9,060","9,150","9,040","13.88K","0.55%"
"2021년 01월 04일","9,050","9,260","9,540","9,020","23.19K","-2.27%"
"2020년 12월 30일","9,260","9,260","9,350","9,210","6.82K","0.00%"
"2020년 12월 29일","9,260","9,410","9,530","9,250","14.00K","-3.04%"
"2020년 12월 28일","9,550","9,570","9,720","9,530","34.21K","-0.21%"
"2020년 12월 24일","9,570","9,670","9,670","9,490","19.47K","0.00%"
"2020년 12월 23일","9,570","9,420","9,730","9,380","46.14K","1.27%"
"2020년 12월 22일","9,450","9,480","9,620","9,210","72.95K","-0.32%"
