"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 08일","8,570","8,880","8,880","8,540","0.77K","-4.03%"
"2021년 07월 07일","8,930","8,880","9,070","8,870","5.89K","-3.35%"
"2021년 07월 06일","9,240","9,090","9,260","8,920","10.44K","5.24%"
"2021년 07월 05일","8,780","8,840","8,940","8,700","0.01K","-1.35%"
"2021년 07월 04일","8,900","8,900","8,900","8,900","-","0.00%"
"2021년 07월 02일","8,900","9,400","9,400","8,860","1.92M","-0.78%"
"2021년 07월 01일","8,970","8,800","8,970","8,730","0.00K","2.40%"
"2021년 06월 30일","8,760","8,720","8,820","8,660","263.19K","0.81%"
"2021년 06월 29일","8,690","8,750","8,750","8,630","0.02K","-1.70%"
"2021년 06월 28일","8,840","8,770","8,940","8,770","1.76K","0.91%"
"2021년 06월 25일","8,760","8,590","8,800","8,590","316.31K","1.27%"
"2021년 06월 24일","8,650","8,870","8,900","8,620","367.36K","-1.48%"
"2021년 06월 23일","8,780","8,680","8,900","8,670","639.18K","1.15%"
"2021년 06월 22일","8,680","9,010","9,010","8,680","0.77K","-0.34%"
"2021년 06월 21일","8,710","8,490","8,900","8,370","1.19M","2.59%"
"2021년 06월 20일","8,490","8,490","8,490","8,490","-","0.00%"
"2021년 06월 18일","8,490","8,540","8,560","8,450","382.28K","-1.62%"
"2021년 06월 17일","8,630","8,650","8,690","8,590","0.01K","0.00%"
"2021년 06월 16일","8,630","8,710","9,050","8,630","2.60K","2.49%"
"2021년 06월 15일","8,420","8,390","8,450","8,360","193.04K","0.12%"
"2021년 06월 14일","8,410","8,280","8,430","8,280","0.45K","1.94%"
"2021년 06월 13일","8,250","8,250","8,250","8,250","-","0.00%"
"2021년 06월 11일","8,250","8,290","8,370","8,210","232.61K","-0.84%"
"2021년 06월 10일","8,320","8,330","8,390","8,290","331.23K","-1.77%"
"2021년 06월 09일","8,470","8,790","8,790","8,470","1.02K","0.95%"
"2021년 06월 08일","8,390","8,490","8,490","8,300","0.07K","-1.76%"
"2021년 06월 07일","8,540","8,780","8,810","8,530","0.12K","-1.50%"
"2021년 06월 04일","8,670","8,780","8,860","8,620","568.65K","-2.36%"
"2021년 06월 03일","8,880","8,860","9,180","8,800","8.83K","3.26%"
"2021년 06월 02일","8,600","9,000","9,050","8,560","0.05K","0.58%"
"2021년 06월 01일","8,550","8,460","8,570","8,330","2.00K","1.54%"
"2021년 05월 31일","8,420","8,410","8,630","8,350","745.91K","0.96%"
"2021년 05월 28일","8,340","8,370","8,740","8,310","1.50M","2.08%"
"2021년 05월 27일","8,170","8,290","8,370","8,170","0.03K","-1.21%"
"2021년 05월 26일","8,270","8,350","8,440","8,160","638.50K","-0.84%"
"2021년 05월 25일","8,340","8,370","8,990","8,300","1.29K","4.12%"
"2021년 05월 24일","8,010","7,900","8,310","7,900","1.01M","1.39%"
"2021년 05월 23일","7,900","7,900","7,900","7,900","-","0.00%"
"2021년 05월 21일","7,900","8,150","8,180","7,880","876.49K","-4.59%"
"2021년 05월 20일","8,280","8,520","8,520","8,260","2.78K","-5.69%"
"2021년 05월 19일","8,780","8,780","8,780","8,780","-","0.00%"
"2021년 05월 18일","8,780","8,920","9,490","8,750","5.06M","-0.45%"
"2021년 05월 17일","8,820","8,640","9,270","8,450","5.69K","4.13%"
"2021년 05월 16일","8,470","8,470","8,470","8,470","-","0.00%"
"2021년 05월 14일","8,470","9,000","9,030","8,390","2.86M","-10.08%"
"2021년 05월 13일","9,420","8,940","10,200","8,940","1.84K","10.95%"
"2021년 05월 12일","8,490","8,690","9,880","8,260","43.01K","0.83%"
"2021년 05월 11일","8,420","8,630","8,670","8,330","0.52K","-5.61%"
"2021년 05월 10일","8,920","8,170","9,100","8,080","7.33K","12.20%"
"2021년 05월 09일","7,950","7,950","7,950","7,950","-","0.00%"
"2021년 05월 07일","7,950","8,110","8,130","7,850","848.14K","-2.93%"
"2021년 05월 06일","8,190","7,810","8,350","7,810","3.40M","5.13%"
"2021년 05월 05일","7,790","7,790","7,790","7,790","-","0.00%"
"2021년 05월 04일","7,790","8,020","8,420","7,750","7.90M","-2.99%"
"2021년 05월 03일","8,030","7,550","8,100","7,550","2.77M","4.56%"
"2021년 05월 02일","7,680","7,680","7,680","7,680","-","0.00%"
"2021년 04월 30일","7,680","7,870","7,930","7,570","883.82K","-1.03%"
"2021년 04월 29일","7,760","7,530","7,890","7,400","2.67M","4.72%"
"2021년 04월 28일","7,410","7,450","7,570","7,350","442.46K","0.27%"
"2021년 04월 27일","7,390","7,500","7,520","7,300","302.06K","-1.20%"
"2021년 04월 26일","7,480","7,450","7,570","7,450","321.93K","0.54%"
"2021년 04월 23일","7,440","7,330","7,500","7,320","273.06K","0.27%"
"2021년 04월 22일","7,420","7,400","7,450","7,350","344.67K","0.13%"
