"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 02월 27일","2,745","2,745","2,745","2,745","-","0.00%"
"2022년 02월 25일","2,745","2,800","3,120","2,730","58.48M","-9.70%"
"2022년 02월 24일","3,040","2,880","3,195","2,760","122.92M","13.22%"
"2022년 02월 23일","2,685","2,795","2,915","2,605","76.93M","-0.74%"
"2022년 02월 22일","2,705","2,560","2,845","2,465","87.00M","12.24%"
"2022년 02월 21일","2,410","2,505","2,560","2,365","14.50M","2.12%"
"2022년 02월 20일","2,360","2,360","2,360","2,360","-","0.00%"
"2022년 02월 18일","2,360","2,540","2,600","2,340","13.54M","-2.48%"
"2022년 02월 17일","2,420","2,310","2,540","2,275","23.97M","5.45%"
"2022년 02월 16일","2,295","2,200","2,310","2,125","11.61M","-5.36%"
"2022년 02월 15일","2,425","2,770","2,870","2,415","61.47M","-5.09%"
"2022년 02월 14일","2,555","2,785","2,855","2,535","42.08M","-5.19%"
"2022년 02월 11일","2,695","2,370","2,870","2,280","148.16M","15.42%"
"2022년 02월 10일","2,335","2,310","2,365","2,250","4.51M","1.74%"
"2022년 02월 09일","2,295","2,240","2,330","2,235","3.28M","2.23%"
"2022년 02월 08일","2,245","2,330","2,355","2,205","4.54M","-1.10%"
"2022년 02월 07일","2,270","2,265","2,390","2,245","7.70M","0.44%"
"2022년 02월 06일","2,260","2,260","2,260","2,260","-","0.00%"
"2022년 02월 04일","2,260","2,120","2,430","2,115","27.76M","9.18%"
"2022년 02월 03일","2,070","2,010","2,115","2,005","2.69M","4.02%"
"2022년 02월 02일","1,990","1,990","1,990","1,990","-","0.00%"
"2022년 01월 28일","1,990","2,035","2,050","1,890","5.55M","-0.75%"
"2022년 01월 27일","2,005","2,225","2,320","2,005","12.79M","-8.86%"
"2022년 01월 26일","2,200","2,200","2,295","2,175","5.39M","0.00%"
"2022년 01월 25일","2,200","2,360","2,465","2,175","16.01M","-5.38%"
"2022년 01월 24일","2,325","2,155","2,480","2,155","45.43M","11.51%"
"2022년 01월 23일","2,085","2,085","2,085","2,085","-","0.00%"
"2022년 01월 21일","2,085","2,085","2,120","2,055","584.99K","0.00%"
"2022년 01월 20일","2,085","2,025","2,105","2,025","692.71K","2.96%"
"2022년 01월 19일","2,025","1,995","2,065","1,995","730.28K","0.25%"
"2022년 01월 18일","2,020","2,060","2,110","2,020","660.67K","-2.42%"
"2022년 01월 17일","2,070","2,125","2,145","2,055","860.81K","-2.82%"
"2022년 01월 16일","2,130","2,130","2,130","2,130","-","0.00%"
"2022년 01월 14일","2,130","2,185","2,205","2,105","834.55K","-3.18%"
"2022년 01월 13일","2,200","2,210","2,230","2,180","498.32K","-0.68%"
"2022년 01월 12일","2,215","2,175","2,250","2,170","738.40K","2.55%"
"2022년 01월 11일","2,160","2,230","2,295","2,160","1.46M","-3.36%"
"2022년 01월 10일","2,235","2,285","2,285","2,235","456.46K","-1.54%"
"2022년 01월 09일","2,270","2,270","2,270","2,270","-","0.00%"
"2022년 01월 07일","2,270","2,235","2,290","2,235","485.57K","1.57%"
"2022년 01월 06일","2,235","2,275","2,315","2,225","926.18K","-3.25%"
"2022년 01월 05일","2,310","2,350","2,395","2,310","1.80M","-1.07%"
"2022년 01월 04일","2,335","2,335","2,355","2,300","826.51K","0.65%"
"2022년 01월 03일","2,320","2,285","2,335","2,280","759.78K","2.20%"
"2021년 12월 30일","2,270","2,270","2,310","2,270","893.47K","0.00%"
"2021년 12월 29일","2,270","2,230","2,290","2,230","982.04K","0.67%"
"2021년 12월 28일","2,255","2,290","2,295","2,245","1.32M","-1.74%"
"2021년 12월 27일","2,295","2,385","2,390","2,285","1.45M","-4.18%"
"2021년 12월 26일","2,395","2,395","2,395","2,395","-","0.00%"
"2021년 12월 24일","2,395","2,415","2,445","2,375","2.54M","0.21%"
"2021년 12월 23일","2,390","2,435","2,440","2,380","1.31M","-1.44%"
"2021년 12월 22일","2,425","2,420","2,435","2,375","1.41M","0.41%"
"2021년 12월 21일","2,415","2,395","2,480","2,390","5.72M","1.90%"
"2021년 12월 20일","2,370","2,415","2,420","2,370","1.79M","-1.46%"
"2021년 12월 19일","2,405","2,405","2,405","2,405","-","0.00%"
"2021년 12월 17일","2,405","2,435","2,465","2,390","1.87M","-1.64%"
"2021년 12월 16일","2,445","2,380","2,490","2,325","6.38M","2.52%"
"2021년 12월 15일","2,385","2,285","2,480","2,280","8.08M","4.38%"
"2021년 12월 14일","2,285","2,300","2,315","2,265","1.03M","-1.08%"
"2021년 12월 13일","2,310","2,345","2,350","2,285","2.04M","0.87%"
"2021년 12월 10일","2,290","2,220","2,395","2,205","5.81M","2.69%"
"2021년 12월 09일","2,230","2,220","2,255","2,220","925.69K","0.68%"
"2021년 12월 08일","2,215","2,265","2,265","2,200","1.71M","-1.34%"
"2021년 12월 07일","2,245","2,215","2,385","2,205","5.94M","1.58%"
"2021년 12월 06일","2,210","2,210","2,235","2,160","1.56M","-1.78%"
"2021년 12월 05일","2,250","2,250","2,250","2,250","-","0.00%"
"2021년 12월 03일","2,250","2,230","2,260","2,195","3.15M","1.35%"
