날짜,실제,이전
Mar-19,2.50%,2.50%
Jun-19,2.50%,2.50%
Sep-19,2.25%,2.50%
Dec-19,1.75%,2.00%
Mar-20,1.75%,1.75%
Jun-20,0.25%,0.25%
Sep-20,0.25%,0.25%
Dec-20,0.25%,0.25%
Mar-21,0.25%,0.25%
Jun-21,0.25%,0.25%
Sep-21,0.25%,0.25%
Dec-21,0.25%,0.25%
Mar-22,0.25%,0.25%
Jun-22,1.00%,0.50%
