,201901월,201902월,201903월,201904월,201905월,201906월,201907월,201908월,201909월,201910월,201911월,201912월,202001월,202002월,202003월,202004월,202005월,202006월,202007월,202008월,202009월,202010월,202011월,202012월,202101월,202102월,202103월,202104월,202105월,202106월,202107월,202108월,202109월,202110월,202111월,202112월,202201월,202202월,202203월,202204월,202205월
기업대출,831.7,836.1,837.2,843.8,849.9,851.9,853.3,856.8,861.8,869.2,875.2,869.0,877.5,882.6,901.3,929.2,945.1,946.7,955.1,961.0,966.1,975.2,982.0,976.4,986.3,995.3,"1,000.0","1,011.4","1,017.1","1,022.1","1,033.5","1,041.3","1,049.0","1,059.3","1,068.4","1,065.7","1,079.0","1,085.3","1,093.9","1,106.0","1,119.2"
대기업,158.1,157.9,155.5,157.1,157.7,155.5,154.3,152.4,152.6,153.7,154.5,152.3,155.4,155.2,165.9,177.2,179.8,176.5,178.4,178.3,176.0,177.1,176.8,171.8,175.1,175.8,173.1,175.0,174.2,173.1,175.4,175.7,176.0,178.3,181.0,179.3,183.4,184.1,185.0,189.4,193.6
중소기업,673.7,678.2,681.7,686.7,692.1,696.4,699.0,704.4,709.2,715.5,720.6,716.7,722.1,727.3,735.4,752.0,765.3,770.2,776.7,782.7,790.0,798.2,805.2,804.6,811.2,819.6,826.9,836.3,842.9,849.0,858.1,865.6,873.0,881.0,887.4,886.4,895.6,901.2,908.9,916.6,925.5
