날짜,실제,이전
2019/1/4,2.50%,2.50%
2019/2/4,2.50%,2.50%
2019/3/4,2.25%,2.50%
2019/4/4,1.75%,2.00%
2020/1/4,1.75%,1.75%
2020/2/4,0.25%,0.25%
2020/3/4,0.25%,0.25%
2020/4/4,0.25%,0.25%
2021/1/4,0.25%,0.25%
2021/2/4,0.25%,0.25%
2021/3/4,0.25%,0.25%
2021/4/4,0.25%,0.25%
2022/1/4,0.25%,0.25%
