,채널이름,조회수
0,진성호방송,"67,842,701"
1,진성호방송,"50,365,223"
2,진성호방송,"93,920,566"
3,진성호방송,"107,751,239"
4,NCT DREAM,"62,261,881"
5,"구독자90,000명만들기","156,212,737"
6,짧은 영상 shorts video,"172,121,317"
7,쇼츠갤러리,"425,145,879"
8,진성호방송,"95,513,544"
9,진성호방송,"114,011,867"
10,진성호방송,"112,892,660"
11,진성호방송,"107,778,103"
12,진성호방송,"134,403,876"
13,진성호방송,"147,660,362"
14,진성호방송,"205,599,478"
15,Jᴇᴏɴɪᴄs♥︎방탄°,"98,655,183"
16,Jᴇᴏɴɪᴄs♥︎방탄°,"118,406,472"
17,[1분예능] 재미있고 감동적인 1분영상,"205,303,358"
