,채널이름,조회수
0,사나이 김기훈,"19,961,738"
1,사나이 김기훈,"18,409,186"
2,피식대학Psick Univ,"17,363,296"
3,진우와 해티,"21,055,047"
4,CJY中,"179,845,708"
5,CJY中,"81,618,869"
6,대륙판눈요기TV,"68,268,444"
7,대륙판눈요기TV,"50,945,077"
8,가나쌍둥이Ghana Twins,"48,731,161"
9,shorts시청,"64,252,709"
10,가나쌍둥이Ghana Twins,"74,156,888"
11,가나쌍둥이Ghana Twins,"65,211,728"
12,세얼간이3idiots,"47,389,073"
13,진짜갱스터,"43,225,489"
14,밈박스,"58,963,419"
15,옥이튜브,"178,558,583"
16,밈박스,"98,937,822"
17,밈박스,"62,624,194"
