FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
Mar-94,64.5,72.5,46,64.1,61.31,72.7
Apr-94,63.7,72.9,42.3,62.4,63.66,68.1
May-94,65.6,76.1,42.3,62,67.78,71.7
Jun-94,65.2,74.4,45.1,60.1,68.47,74.6
Jul-94,63.9,75,45.6,56,67.15,72.8
Aug-94,66.2,76.6,46.6,57.5,73.33,74.9
Sep-94,69.3,77.9,49.9,60.2,80.5,77.9
Oct-94,69.9,78.1,52,61.7,79,78.9
Nov-94,73.2,81.9,53.2,61.1,88.31,86.3
Dec-94,73.1,78.2,55,62.7,88.62,90.8
Jan-95,72.9,78.6,58.9,62.9,82.66,91.3
Feb-95,74.4,83.1,61.1,62.5,82.67,89.2
Mar-95,75.1,84.1,61.8,62.2,84.42,90.3
Apr-95,74,84.9,61.1,62.7,77.94,84.8
May-95,74,83.8,61.2,64.9,76.79,83.7
Jun-95,75.1,81,61.2,69.1,80.33,86.8
Jul-95,79.5,87.4,64.6,74,83.96,84.1
Aug-95,78,87.1,64.3,72.6,79.95,80.3
Sep-95,78.3,88.4,64.3,75.9,76.28,72.3
Oct-95,80.4,88.8,64.8,80.2,79.95,73.3
Nov-95,79.8,87.2,64.8,80.5,78.99,74.1
Dec-95,78,81.2,64.4,82.7,75.58,76.2
Jan-96,77,79.8,64.3,83.3,70.75,77.5
Feb-96,77.5,79.9,64.2,85.7,68.63,79.3
Mar-96,78.6,82.9,63,86.9,68.17,79.9
Apr-96,80.8,80.8,62.7,95.3,73.56,74.1
May-96,82.4,83.1,61,100,73.37,70.5
Jun-96,80.5,83.5,61.1,94.3,68.85,75.3
Jul-96,80.2,86.1,61.3,91.1,66.07,79.3
Aug-96,79.9,88.8,60.7,85.8,69.1,76.6
Sep-96,76.9,88.7,60.1,75.3,71.47,73.8
Oct-96,74.1,85.9,61,71.1,69.08,68.8
Nov-96,72.5,84.9,59.9,67.4,70.01,66.3
Dec-96,71.4,81,60.2,67.6,70.17,66.5
Jan-97,70.9,78.8,60.3,68.1,70.76,66.2
Feb-97,71,78.7,59.5,68.4,71.49,66.9
Mar-97,72.8,82.4,59.3,70.6,70.32,68.8
Apr-97,73.4,83.5,59.1,70.8,71.11,69.9
May-97,72.8,83.5,58.8,68.8,71.65,68.9
Jun-97,70.2,80,58.6,65.2,68.96,70.7
Jul-97,68.4,79.1,58.1,62.4,65.53,69.4
Aug-97,69.8,80.1,57.8,65.7,65.4,72.4
Sep-97,70,79.7,59,65.1,67.96,70.1
Oct-97,69.8,75.5,60.8,65.6,72.78,70.6
Nov-97,70.3,75.5,61,64.2,76.71,74.3
Dec-97,68,69.5,61,63.4,75.55,76.3
Jan-98,67.4,67.3,60.9,62.7,79.26,71.5
Feb-98,67.6,68.3,59.7,62.7,81.88,66.3
Mar-98,67.4,67.8,57.8,63.2,84.68,60.9
Apr-98,66.8,67.8,57.6,60.8,86.01,60
May-98,66.4,66.2,56.5,60.2,89.97,57.1
Jun-98,64.2,66.2,55.6,59,82.76,50.1
Jul-98,64.3,66.7,55.3,57.5,83.56,53.5
Aug-98,62.4,64.2,55.4,54.1,83.17,52.5
Sep-98,61.9,64.6,53.9,53.9,84.56,44.7
Oct-98,62.7,64.1,52.1,57.7,84.44,46.2
Nov-98,62.6,62.7,52.1,58.2,84.31,49.9
Dec-98,62.1,63.3,52.3,56.8,82.04,50
Jan-99,61,62.1,52.4,57.1,77.31,50.2
Feb-99,58.4,62.8,51.5,54.9,68.4,42.2
Mar-99,57,62.8,50.7,55.2,62.31,37.3
Apr-99,55.8,61.1,48,53.7,64.88,33.5
May-99,55.4,61.7,47.4,52.8,62.26,35.6
Jun-99,54.6,62.1,47.1,53.6,54.79,37.3
Jul-99,52.6,62.3,46.4,51.4,48.63,33.3
Aug-99,54.4,64,46.4,53,52.29,35.6
Sep-99,54.6,62.6,46.8,52.6,54.07,41.3
Oct-99,53.2,60,47,51.5,52.96,41.9
Nov-99,53.2,60.9,47.5,51.3,51.32,40.2
Dec-99,51.9,58.9,48.5,50.4,49.49,37.2
Jan-00,52.6,59.9,50.2,52.1,48.58,34.7
Feb-00,52.3,60.2,50.4,52.2,46.37,32.7
Mar-00,52.8,61.9,50.1,51.7,47.82,31.8
Apr-00,53.4,61.3,50.4,51.8,49.5,37.3
May-00,53.6,62.4,50.9,52.8,44.49,42.8
Jun-00,53.8,61.7,53.8,51.4,42.93,51.8
Jul-00,54,61.5,55.6,49.8,42.67,59.6
Aug-00,53.2,59.2,56,48.6,41.7,64.6
Sep-00,52.6,58.4,57.4,49.4,38.47,62.1
Oct-00,53.4,58.6,59.1,51.2,36.38,66.5
Nov-00,53.8,59.3,59.6,52.1,37.67,61.5
Dec-00,54.4,59.3,60.1,53.7,38.14,62
01-Jan,53.8,57.3,59.7,53.9,37.27,63.9
01-Feb,54.2,60.9,59.5,53,35.83,61.1
01-Mar,55.1,63.6,59.7,52.2,38.2,57.4
01-Apr,54.6,64.1,59.5,51,38.03,54.1
01-May,55.4,64.5,62,51.7,36.57,59.3
01-Jun,54.8,62.5,62.4,51,38.85,56
01-Jul,56.5,62.9,62.9,51.7,47.44,54.4
01-Aug,56.6,63,62.5,51.6,50.02,50.2
01-Sep,55.4,62.9,62.1,51.2,45.4,47.3
01-Oct,54.2,61.3,62.8,51,43.3,42
01-Nov,54.7,59.5,60.6,51.9,48.27,47.5
01-Dec,54.3,58.2,56.9,52,50.61,48.5
02-Jan,53.5,58.4,53,51.7,49.26,48.2
02-Feb,51.7,56.6,52.8,50.4,47.79,40.5
02-Mar,52,59.1,50.7,49.6,47.62,41.4
02-Apr,51,56.3,48.9,49.3,48.97,42.6
02-May,50.5,55.2,44.8,50.2,51.64,37.6
02-Jun,51.3,55.4,42.9,52,55.8,35.6
02-Jul,52,55.1,40.6,54.6,56.15,39.5
02-Aug,53.4,55,40.1,58.1,59.65,39
