"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상"
"부산광역시 사하구 당리동(2638055000)","25,990","25,990","1,383","2,191","3,114","2,736","3,713","4,547","4,820","2,431","933","122","0"
"부산광역시 사하구 하단제1동(2638056100)","21,303","21,303","1,054","1,588","3,425","2,777","2,902","3,488","3,568","1,738","671","92","0"
"부산광역시 사하구 하단제2동(2638056200)","25,289","25,289","1,305","1,930","5,180","3,130","3,433","3,991","3,728","1,818","696","75","3"
"부산광역시 사하구 신평제1동(2638057100)","16,574","16,574","1,012","1,054","1,658","1,919","2,403","2,999","3,171","1,649","641","67","1"
"부산광역시 사하구 신평제2동(2638057200)","17,677","17,677","1,212","1,414","2,210","2,567","2,656","3,080","2,926","1,158","387","67","0"
"부산광역시 사하구 장림제1동(2638058000)","10,553","10,553","792","946","992","1,308","1,891","1,728","1,624","930","313","29","0"
"부산광역시 사하구 장림제2동(2638059000)","27,035","27,035","1,640","2,368","3,286","3,274","4,333","4,715","4,543","2,123","680","72","1"
"부산광역시 사하구 다대제1동(2638060100)","38,154","38,154","2,575","3,767","4,111","3,942","6,028","6,947","6,263","3,044","1,297","178","2"
"부산광역시 사하구 다대제2동(2638060200)","26,775","26,775","1,489","2,242","2,978","2,404","3,779","5,076","5,160","2,409","1,068","169","1"
"부산광역시 사하구 구평동(2638061000)","12,902","12,902","1,357","988","1,388","2,271","2,087","1,966","1,811","775","219","37","3"
"부산광역시 사하구 감천제1동(2638062000)","18,127","18,127","744","1,277","1,960","1,631","2,379","3,344","3,901","2,039","762","89","1"
"부산광역시 사하구 감천제2동(2638063000)","5,765","5,765","114","213","467","365","653","1,083","1,259","1,018","526","64","3"
"부산광역시 금정구 (2641000000)","224,173","224,173","11,379","16,864","30,911","23,411","30,503","38,223","39,500","22,373","9,744","1,233","32"
"부산광역시 금정구 서제1동(2641051000)","5,139","5,139","74","218","447","385","654","954","1,261","750","360","36","0"
"부산광역시 금정구 서제2동(2641052000)","9,051","9,051","263","424","1,011","884","1,059","1,694","2,168","1,109","396","43","0"
"부산광역시 금정구 서제3동(2641053000)","11,012","11,012","308","480","1,119","1,075","1,263","2,094","2,532","1,484","596","60","1"
"부산광역시 금정구 금사회동동(2641055500)","7,732","7,732","215","321","710","710","882","1,444","1,932","1,082","393","42","1"
"부산광역시 금정구 부곡제1동(2641057000)","8,162","8,162","269","431","758","769","1,033","1,353","1,719","1,247","527","56","0"
"부산광역시 금정구 부곡제2동(2641058000)","17,820","17,820","926","1,517","2,548","1,913","2,589","3,097","2,858","1,571","701","98","2"
"부산광역시 금정구 부곡제3동(2641059000)","15,527","15,527","967","1,317","2,042","1,838","2,238","2,636","2,517","1,275","607","89","1"
"부산광역시 금정구 부곡제4동(2641059100)","12,554","12,554","466","740","1,400","1,329","1,643","2,159","2,609","1,578","572","56","2"
"부산광역시 금정구 장전제1동(2641060000)","17,976","17,976","738","1,261","5,893","1,913","2,127","2,193","2,018","1,208","554","69","2"
"부산광역시 금정구 장전제2동(2641061000)","26,251","26,251","2,374","2,478","3,136","3,339","4,645","3,681","3,407","2,064","967","155","5"
"부산광역시 금정구 선두구동(2641063500)","2,294","2,294","65","87","196","197","215","457","561","320","172","23","1"
"부산광역시 금정구 청룡노포동(2641066500)","9,717","9,717","473","659","960","936","1,133","1,707","1,938","1,276","562","71","2"
"부산광역시 금정구 남산동(2641067000)","28,052","28,052","994","1,835","4,253","2,728","3,316","5,204","5,207","3,006","1,345","159","5"
"부산광역시 금정구 구서제1동(2641068000)","19,430","19,430","1,195","1,890","2,343","2,127","2,963","3,499","3,087","1,541","709","75","1"
"부산광역시 금정구 구서제2동(2641069000)","32,446","32,446","2,003","3,087","4,022","3,202","4,588","5,901","5,468","2,743","1,232","192","8"
"부산광역시 금정구 금성동(2641070000)","1,010","1,010","49","119","73","66","155","150","218","119","51","9","1"
"부산광역시 강서구 (2644000000)","144,047","144,047","19,313","13,470","12,600","26,108","27,151","17,183","17,298","7,479","2,956","475","14"
"부산광역시 강서구 대저1동(2644051000)","6,417","6,417","157","259","559","547","641","1,125","1,639","1,013","406","70","1"
"부산광역시 강서구 대저2동(2644052000)","7,033","7,033","456","459","817","916","902","1,018","1,359","703","347","55","1"
"부산광역시 강서구 강동동(2644053000)","4,179","4,179","77","105","300","320","339","748","1,317","657","267","47","2"
"부산광역시 강서구 명지1동(2644053500)","53,827","53,827","9,616","5,016","4,522","12,623","10,718","4,871","4,290","1,547","533","88","3"
"부산광역시 강서구 명지2동(2644054500)","30,326","30,326","4,651","4,564","2,370","4,278","7,031","3,517","2,608","938","315","53","1"
"부산광역시 강서구 가락동(2644055000)","2,312","2,312","42","61","160","177","186","417","613","421","204","29","2"
"부산광역시 강서구 녹산동(2644056000)","35,872","35,872","4,197","2,865","3,550","6,866","6,874","4,694","4,384","1,698","647","95","2"
"부산광역시 강서구 가덕도동(2644058000)","4,081","4,081","117","141","322","381","460","793","1,088","502","237","38","2"
"부산광역시 연제구 (2647000000)","206,145","206,145","13,576","16,127","24,279","26,031","31,358","33,373","33,617","18,978","7,878","898","30"
"부산광역시 연제구 거제제1동(2647061000)","28,662","28,662","2,193","3,418","3,144","2,695","5,203","4,811","3,712","2,373","1,014","92","7"
"부산광역시 연제구 거제제2동(2647062000)","11,986","11,986","918","1,566","1,232","1,089","2,213","1,983","1,647","921","373","43","1"
"부산광역시 연제구 거제제3동(2647063000)","9,829","9,829","423","627","1,070","1,044","1,220","1,572","1,853","1,278","653","88","1"
"부산광역시 연제구 거제제4동(2647064000)","10,221","10,221","587","990","1,110","1,011","1,547","1,778","1,799","947","392","57","3"
"부산광역시 연제구 연산제1동(2647065000)","16,700","16,700","1,213","1,289","1,726","2,170","2,571","2,665","2,881","1,541","577","64","3"
"부산광역시 연제구 연산제2동(2647066000)","20,191","20,191","1,873","1,283","2,164","3,282","3,135","3,041","2,871","1,711","736","90","5"
"부산광역시 연제구 연산제3동(2647067000)","10,942","10,942","803","567","1,089","1,683","1,567","1,639","1,967","1,140","450","36","1"
"부산광역시 연제구 연산제4동(2647068000)","15,965","15,965","571","887","2,211","1,872","2,102","2,591","3,180","1,755","711","83","2"
"부산광역시 연제구 연산제5동(2647069000)","16,587","16,587","714","622","3,369","3,189","2,268","2,376","2,235","1,260","513","40","1"
"부산광역시 연제구 연산제6동(2647070000)","16,551","16,551","969","961","1,777","2,164","2,239","2,533","3,034","1,916","865","92","1"
"부산광역시 연제구 연산제8동(2647072000)","13,895","13,895","1,092","1,118","1,410","1,704","2,178","2,307","2,388","1,230","413","55","0"
"부산광역시 연제구 연산제9동(2647073000)","34,616","34,616","2,220","2,799","3,977","4,128","5,115","6,077","6,050","2,906","1,181","158","5"
"부산광역시 수영구 (2650000000)","174,739","174,739","9,556","11,346","23,641","23,524","24,758","26,854","28,848","17,694","7,534","952","32"
"부산광역시 수영구 남천제1동(2650066000)","13,865","13,865","680","1,111","1,811","1,668","1,933","2,468","2,155","1,293","645","100","1"
"부산광역시 수영구 남천제2동(2650067000)","11,978","11,978","788","1,150","1,234","1,126","1,890","2,125","2,007","1,118","454","82","4"
"부산광역시 수영구 수영동(2650073000)","14,533","14,533","544","657","1,641","1,652","1,841","2,224","2,914","2,044","918","97","1"
"부산광역시 수영구 망미제1동(2650074000)","27,260","27,260","1,585","1,903","2,823","3,168","3,780","4,132","5,156","3,126","1,401","184","2"
"부산광역시 수영구 망미제2동(2650075000)","10,512","10,512","606","747","1,058","1,248","1,537","1,733","1,918","1,186","425","52","2"
"부산광역시 수영구 광안제1동(2650076000)","25,857","25,857","1,052","1,497","5,217","4,194","3,405","3,479","3,677","2,295","911","122","8"
"부산광역시 수영구 광안제2동(2650077000)","18,875","18,875","991","1,228","2,928","2,890","2,823","2,689","2,676","1,784","774","83","9"
"부산광역시 수영구 광안제3동(2650078000)","9,642","9,642","247","372","2,026","1,517","1,146","1,268","1,571","1,041","411","41","2"
"부산광역시 수영구 광안제4동(2650079000)","13,747","13,747","914","905","1,645","2,003","2,118","2,135","2,068","1,261","636","61","1"
"부산광역시 수영구 민락동(2650080000)","28,470","28,470","2,149","1,776","3,258","4,058","4,285","4,601","4,706","2,546","959","130","2"
"부산광역시 사상구 (2653000000)","205,765","205,765","10,646","14,264","26,689","23,759","28,009","37,921","38,884","18,271","6,611","689","22"
"부산광역시 사상구 삼락동(2653058000)","5,681","5,681","215","267","564","546","643","1,192","1,280","686","260","27","1"
"부산광역시 사상구 모라제1동(2653059100)","27,780","27,780","1,442","1,870","3,323","3,271","3,657","5,045","5,599","2,577","895","97","4"
"부산광역시 사상구 모라제3동(2653059300)","10,117","10,117","225","370","704","682","1,150","1,877","2,500","1,716","814","77","2"
"부산광역시 사상구 덕포제1동(2653060000)","8,569","8,569","440","605","964","902","1,155","1,667","1,625","859","325","27","0"
"부산광역시 사상구 덕포제2동(2653061000)","12,731","12,731","645","900","1,528","1,342","1,717","2,394","2,638","1,162","356","48","1"
"부산광역시 사상구 괘법동(2653062000)","22,648","22,648","973","998","4,437","3,397","2,722","3,939","3,960","1,665","498","54","5"
"부산광역시 사상구 감전동(2653064500)","13,134","13,134","449","644","1,442","1,516","1,640","2,613","2,841","1,435","499","52","3"
"부산광역시 사상구 주례제1동(2653065000)","14,944","14,944","847","1,084","1,886","1,719","1,916","2,924","2,874","1,221","429","44","0"
"부산광역시 사상구 주례제2동(2653066000)","22,834","22,834","1,256","1,811","3,888","2,913","3,342","3,667","3,517","1,702","667","69","2"
"부산광역시 사상구 주례제3동(2653066100)","12,959","12,959","634","1,023","1,666","1,426","1,733","2,310","2,472","1,162","483","50","0"
"부산광역시 사상구 학장동(2653067000)","27,916","27,916","1,599","2,177","3,100","3,028","4,169","5,150","5,346","2,423","830","91","3"
"부산광역시 사상구 엄궁동(2653068000)","26,452","26,452","1,921","2,515","3,187","3,017","4,165","5,143","4,232","1,663","555","53","1"
"부산광역시 기장군 (2671000000)","177,536","177,536","17,663","18,302","16,787","23,382","33,223","25,594","22,712","13,268","5,752","825","28"
"부산광역시 기장군 기장읍(2671025000)","52,218","52,218","2,824","4,139","6,000","5,572","7,721","9,339","8,593","5,178","2,503","337","12"
"부산광역시 기장군 장안읍(2671025300)","8,457","8,457","406","400","957","988","948","1,506","1,664","957","539","88","4"
"부산광역시 기장군 정관읍(2671025600)","81,429","81,429","10,681","11,230","6,543","11,605","18,940","9,294","7,117","4,291","1,499","225","4"
"부산광역시 기장군 일광읍(2671025900)","27,610","27,610","3,424","2,099","2,651","4,620","4,669","4,121","3,537","1,675","697","110","7"
"부산광역시 기장군 철마면(2671033000)","7,822","7,822","328","434","636","597","945","1,334","1,801","1,167","514","65","1"
"대구광역시  (2700000000)","2,375,306","2,375,306","162,690","217,669","302,746","281,728","368,477","417,765","345,400","182,009","85,999","10,557","266"
"대구광역시 중구 (2711000000)","78,984","78,984","5,519","5,392","11,868","11,592","11,334","11,623","10,436","7,127","3,556","514","23"
"대구광역시 중구 동인동(2711051700)","7,825","7,825","239","435","1,346","1,075","983","1,208","1,180","840","437","76","6"
"대구광역시 중구 삼덕동(2711054500)","6,473","6,473","356","371","1,807","1,218","864","677","604","364","187","25","0"
"대구광역시 중구 성내1동(2711056500)","4,870","4,870","131","210","1,503","785","521","565","542","371","202","38","2"
"대구광역시 중구 성내2동(2711057500)","4,471","4,471","116","188","871","607","457","661","744","532","250","44","1"
"대구광역시 중구 성내3동(2711058500)","4,677","4,677","547","221","498","873","713","629","620","386","171","18","1"
"대구광역시 중구 대신동(2711059500)","7,671","7,671","778","525","756","1,142","1,197","1,184","1,093","655","295","44","2"
"대구광역시 중구 남산1동(2711064000)","4,592","4,592","224","272","836","603","595","697","657","460","220","28","0"
"대구광역시 중구 남산2동(2711065000)","6,685","6,685","702","488","806","1,116","1,035","983","728","531","254","39","3"
"대구광역시 중구 남산3동(2711066000)","6,553","6,553","470","535","639","826","1,075","1,007","965","665","329","41","1"
"대구광역시 중구 남산4동(2711067000)","13,979","13,979","1,173","1,218","1,435","1,901","2,198","2,128","1,887","1,309","648","76","6"
"대구광역시 중구 대봉1동(2711068000)","6,709","6,709","420","569","885","745","963","1,147","864","633","417","66","0"
"대구광역시 중구 대봉2동(2711069000)","4,479","4,479","363","360","486","701","733","737","552","381","146","19","1"
"대구광역시 동구 (2714000000)","341,126","341,126","23,252","26,246","39,724","42,953","50,791","56,388","53,849","31,481","14,719","1,683","40"
"대구광역시 동구 신암1동(2714051000)","8,998","8,998","530","454","1,019","1,061","1,156","1,477","1,535","1,095","608","62","1"
"대구광역시 동구 신암2동(2714052000)","10,272","10,272","880","854","921","1,241","1,758","1,548","1,447","1,026","541","56","0"
"대구광역시 동구 신암3동(2714053000)","11,564","11,564","1,296","747","1,133","1,995","1,720","1,752","1,530","925","410","52","4"
"대구광역시 동구 신암4동(2714054000)","11,328","11,328","324","559","1,625","1,330","1,444","2,126","2,099","1,230","526","62","3"
"대구광역시 동구 신암5동(2714054100)","6,232","6,232","186","352","718","520","734","1,195","1,282","803","410","32","0"
"대구광역시 동구 신천1.2동(2714055500)","12,710","12,710","656","833","1,402","1,412","1,767","2,163","2,145","1,486","751","95","0"
"대구광역시 동구 신천3동(2714057000)","12,657","12,657","898","1,024","1,619","1,739","1,944","2,221","1,711","953","492","54","2"
"대구광역시 동구 신천4동(2714058000)","8,420","8,420","328","390","1,435","1,346","1,075","1,348","1,304","804","350","38","2"
"대구광역시 동구 효목1동(2714059000)","13,477","13,477","431","727","1,640","1,289","1,573","2,400","2,744","1,765","837","70","1"
"대구광역시 동구 효목2동(2714060000)","13,047","13,047","597","892","1,633","1,414","1,784","2,212","2,328","1,434","658","92","3"
"대구광역시 동구 도평동(2714061500)","3,976","3,976","163","205","565","433","425","681","771","465","242","25","1"
"대구광역시 동구 불로.봉무동(2714062000)","21,091","21,091","1,933","2,344","2,118","2,457","3,918","3,274","2,861","1,485","600","98","3"
"대구광역시 동구 지저동(2714064000)","14,342","14,342","583","825","1,761","1,453","1,671","2,744","2,957","1,582","696","68","2"
"대구광역시 동구 동촌동(2714065500)","15,538","15,538","744","870","1,992","1,817","1,983","2,763","2,891","1,640","750","87","1"
"대구광역시 동구 방촌동(2714067000)","18,681","18,681","805","1,260","2,302","1,787","2,277","3,532","3,559","2,021","1,023","110","5"
"대구광역시 동구 해안동(2714068500)","15,018","15,018","681","883","1,778","1,530","1,870","2,674","2,859","1,821","830","90","2"
"대구광역시 동구 안심1동(2714072000)","41,847","41,847","3,193","3,672","4,842","5,113","6,617","6,677","6,550","3,367","1,604","208","4"
"대구광역시 동구 안심2동(2714073000)","10,906","10,906","564","631","1,237","1,295","1,344","2,088","2,037","1,180","476","54","0"
"대구광역시 동구 안심3동(2714074200)","22,001","22,001","2,220","2,762","2,393","3,068","4,292","3,129","2,088","1,376","611","61","1"
"대구광역시 동구 안심4동(2714074700)","28,696","28,696","2,205","2,903","3,594","3,784","4,723","4,736","3,798","2,010","849","93","1"
"대구광역시 동구 혁신동(2714075500)","18,691","18,691","2,711","1,638","1,807","4,268","3,737","1,822","1,623","769","280","32","4"
"대구광역시 동구 공산동(2714076000)","21,634","21,634","1,324","1,421","2,190","2,601","2,979","3,826","3,730","2,244","1,175","144","0"
"대구광역시 서구 (2717000000)","161,542","161,542","6,398","9,800","18,960","16,309","20,715","31,328","31,893","17,582","7,726","812","19"
"대구광역시 서구 내당1동(2717051000)","8,424","8,424","309","442","1,206","979","1,014","1,582","1,553","902","390","46","1"
"대구광역시 서구 내당2.3동(2717052500)","9,534","9,534","276","435","1,131","893","1,124","1,816","1,976","1,225","607","51","0"
"대구광역시 서구 내당4동(2717054000)","16,302","16,302","600","1,100","2,126","1,941","2,115","2,898","3,086","1,653","692","90","1"
"대구광역시 서구 비산1동(2717055000)","9,528","9,528","239","614","1,042","827","1,184","2,010","1,914","1,149","500","48","1"
"대구광역시 서구 비산2.3동(2717056500)","9,114","9,114","255","444","927","746","1,008","1,737","1,954","1,313","675","52","3"
"대구광역시 서구 비산4동(2717058000)","9,635","9,635","321","517","1,127","925","1,219","1,926","2,010","1,099","449","42","0"
"대구광역시 서구 비산5동(2717059000)","5,974","5,974","157","281","601","531","660","1,187","1,292","851","381","33","0"
"대구광역시 서구 비산6동(2717060000)","7,486","7,486","198","412","892","658","899","1,549","1,563","857","413","43","2"
"대구광역시 서구 비산7동(2717061000)","9,801","9,801","346","487","1,067","987","1,178","2,048","2,008","1,153","484","41","2"
"대구광역시 서구 평리1동(2717062000)","7,670","7,670","253","435","916","715","952","1,521","1,555","858","417","47","1"
"대구광역시 서구 평리2동(2717063000)","7,909","7,909","526","590","833","865","1,177","1,406","1,454","735","298","25","0"
"대구광역시 서구 평리3동(2717064000)","9,807","9,807","322","525","1,109","974","1,216","1,991","2,080","1,067","468","55","0"
"대구광역시 서구 평리4동(2717065000)","17,804","17,804","1,117","1,254","2,114","2,063","2,577","3,339","3,101","1,540","618","79","2"
"대구광역시 서구 평리5동(2717066000)","1,721","1,721","51","106","225","167","225","325","345","198","77","2","0"
"대구광역시 서구 평리6동(2717066100)","3,529","3,529","83","193","379","331","375","766","847","376","157","22","0"
"대구광역시 서구 상중이동(2717067500)","19,801","19,801","1,107","1,597","2,410","2,027","2,836","3,753","3,668","1,667","637","94","5"
"대구광역시 서구 원대동(2717069500)","7,503","7,503","238","368","855","680","956","1,474","1,487","939","463","42","1"
"대구광역시 남구 (2720000000)","141,285","141,285","6,027","8,837","19,344","16,380","18,874","23,786","24,134","15,029","7,854","997","23"
"대구광역시 남구 이천동(2720051500)","11,801","11,801","671","952","1,172","1,114","1,828","1,983","1,765","1,390","790","136","0"
"대구광역시 남구 봉덕1동(2720053000)","9,068","9,068","300","492","1,079","1,066","1,276","1,587","1,601","1,005","583","77","2"
"대구광역시 남구 봉덕2동(2720054000)","12,312","12,312","918","1,010","1,149","1,477","1,788","1,978","1,998","1,200","698","93","3"
"대구광역시 남구 봉덕3동(2720055000)","16,332","16,332","793","1,189","1,922","1,731","2,312","2,826","2,825","1,661","942","128","3"
"대구광역시 남구 대명1동(2720056000)","11,149","11,149","419","718","1,639","1,326","1,465","1,977","1,899","1,134","507","61","4"
"대구광역시 남구 대명2동(2720057100)","10,466","10,466","352","586","2,104","1,314","1,234","1,603","1,572","1,066","573","62","0"
"대구광역시 남구 대명3동(2720058600)","10,742","10,742","298","575","1,557","1,145","1,354","1,834","1,999","1,295","617","67","1"
"대구광역시 남구 대명4동(2720059000)","10,852","10,852","392","602","1,533","1,151","1,238","1,959","2,139","1,206","569","60","3"
"대구광역시 남구 대명5동(2720060000)","6,140","6,140","193","423","1,285","698","691","939","947","616","307","41","0"
"대구광역시 남구 대명6동(2720061000)","9,479","9,479","457","612","1,418","1,199","1,382","1,551","1,471","873","460","54","2"
"대구광역시 남구 대명9동(2720064000)","15,459","15,459","661","845","2,263","2,066","2,196","2,588","2,517","1,504","713","104","2"
"대구광역시 남구 대명10동(2720065000)","8,972","8,972","293","440","1,215","1,109","1,127","1,468","1,654","1,046","555","64","1"
"대구광역시 남구 대명11동(2720066000)","8,513","8,513","280","393","1,008","984","983","1,493","1,747","1,033","540","50","2"
"대구광역시 북구 (2723000000)","435,131","435,131","30,578","41,657","60,806","51,668","68,882","78,245","58,412","29,541","13,730","1,571","41"
"대구광역시 북구 고성동(2723051000)","4,824","4,824","351","326","522","696","660","743","769","505","217","33","2"
"대구광역시 북구 칠성동(2723052600)","23,250","23,250","2,155","2,048","2,761","3,468","4,110","3,314","2,757","1,632","887","117","1"
"대구광역시 북구 침산1동(2723055000)","4,035","4,035","157","186","432","444","449","812","897","442","189","25","2"
"대구광역시 북구 침산2동(2723056000)","18,441","18,441","1,917","2,275","1,930","2,381","3,591","2,824","1,929","1,039","495","57","3"
"대구광역시 북구 침산3동(2723057000)","19,565","19,565","1,545","2,150","2,204","2,068","3,285","3,451","2,555","1,530","711","61","5"
"대구광역시 북구 산격1동(2723061000)","9,018","9,018","217","386","890","726","997","1,742","2,011","1,363","634","50","2"
"대구광역시 북구 산격2동(2723062000)","10,672","10,672","511","814","1,506","1,138","1,335","2,143","1,826","947","397","54","1"
"대구광역시 북구 산격3동(2723063000)","9,499","9,499","223","604","2,872","1,148","1,000","1,193","1,276","781","354","47","1"
"대구광역시 북구 산격4동(2723063100)","8,319","8,319","248","447","1,213","983","1,003","1,425","1,624","925","402","48","1"
"대구광역시 북구 대현동(2723064500)","17,274","17,274","956","1,125","2,849","1,911","2,415","2,753","2,591","1,680","883","110","1"
"대구광역시 북구 복현1동(2723067100)","7,708","7,708","162","371","2,557","1,031","781","1,121","984","466","212","23","0"
"대구광역시 북구 복현2동(2723067200)","31,027","31,027","2,316","3,202","4,435","4,088","4,868","5,357","4,147","1,738","768","105","3"
"대구광역시 북구 검단동(2723068000)","6,360","6,360","242","356","677","711","804","1,101","1,336","741","356","36","0"
"대구광역시 북구 무태조야동(2723069500)","36,159","36,159","3,219","3,724","4,166","4,397","6,690","6,546","4,314","2,218","794","90","1"
"대구광역시 북구 관문동(2723071500)","36,345","36,345","4,158","3,247","3,520","5,589","6,459","5,910","4,561","2,014","780","103","4"
"대구광역시 북구 태전1동(2723072500)","22,214","22,214","1,158","1,789","3,989","2,519","2,921","4,095","3,322","1,582","737","101","1"
"대구광역시 북구 태전2동(2723073500)","24,216","24,216","1,394","2,276","3,531","2,615","3,639","4,585","3,626","1,708","765","76","1"
"대구광역시 북구 구암동(2723074500)","34,638","34,638","2,210","4,491","5,085","3,233","5,979","7,196","3,825","1,659","866","92","2"
"대구광역시 북구 관음동(2723075000)","16,254","16,254","743","1,403","2,158","1,555","2,207","3,445","2,813","1,212","659","55","4"
"대구광역시 북구 읍내동(2723077000)","26,479","26,479","1,536","2,252","4,090","3,161","3,489","5,262","3,985","1,704","903","94","3"
"대구광역시 북구 동천동(2723078000)","27,526","27,526","1,919","3,901","4,007","2,644","5,110","5,689","2,367","1,176","657","56","0"
"대구광역시 북구 노원동(2723079000)","11,399","11,399","547","539","1,190","1,413","1,472","2,139","2,323","1,297","423","55","1"
"대구광역시 북구 국우동(2723080000)","29,909","29,909","2,694","3,745","4,222","3,749","5,618","5,399","2,574","1,182","641","83","2"
"대구광역시 수성구 (2726000000)","414,917","414,917","27,851","48,599","51,217","41,557","69,090","74,878","54,692","29,801","15,112","2,060","60"
"대구광역시 수성구 범어1동(2726051000)","16,392","16,392","1,553","2,138","1,809","1,758","3,044","2,769","1,657","1,068","528","66","2"
"대구광역시 수성구 범어2동(2726052000)","15,198","15,198","945","1,736","2,144","1,813","2,520","2,652","1,843","996","485","62","2"
"대구광역시 수성구 범어3동(2726053000)","16,825","16,825","1,992","2,106","1,955","2,074","3,443","2,731","1,381","746","355","41","1"
"대구광역시 수성구 범어4동(2726054000)","19,883","19,883","1,547","4,516","1,860","1,264","4,843","3,148","1,416","838","401","49","1"
"대구광역시 수성구 만촌1동(2726055000)","22,484","22,484","1,612","2,358","2,778","2,229","3,439","4,048","3,150","1,797","949","122","2"
"대구광역시 수성구 만촌2동(2726056000)","10,816","10,816","452","1,021","1,707","1,166","1,500","2,054","1,551","861","454","47","3"
"대구광역시 수성구 만촌3동(2726056100)","19,236","19,236","1,166","3,640","2,380","1,177","4,097","3,566","1,709","983","460","57","1"
"대구광역시 수성구 수성1가동(2726057000)","17,576","17,576","1,049","2,087","1,996","1,475","2,872","3,156","2,262","1,657","889","128","5"
"대구광역시 수성구 수성2.3가동(2726058000)","11,645","11,645","884","1,664","1,215","937","2,237","1,935","1,447","868","415","41","2"
"대구광역시 수성구 수성4가동(2726059000)","14,134","14,134","711","1,297","1,829","1,338","1,965","2,807","2,188","1,209","697","91","2"
"대구광역시 수성구 황금1동(2726060100)","23,376","23,376","1,880","3,910","2,523","1,753","4,560","4,232","2,554","1,250","615","92","7"
"대구광역시 수성구 황금2동(2726060200)","11,842","11,842","796","894","1,616","1,691","1,898","1,890","1,556","1,019","426","55","1"
"대구광역시 수성구 중동(2726061000)","12,541","12,541","965","872","1,523","1,711","2,080","2,129","1,742","985","467","66","1"
"대구광역시 수성구 상동(2726062000)","16,011","16,011","860","1,233","1,920","1,811","2,360","2,760","2,692","1,526","734","115","0"
"대구광역시 수성구 파동(2726063000)","12,349","12,349","886","958","1,077","1,349","1,841","2,007","2,152","1,382","599","92","6"
"대구광역시 수성구 두산동(2726064000)","14,157","14,157","808","1,057","2,204","1,985","2,174","2,726","1,889","868","390","54","2"
"대구광역시 수성구 지산1동(2726065100)","21,505","21,505","845","1,635","2,983","2,139","2,826","4,101","3,640","2,106","1,059","168","3"
"대구광역시 수성구 지산2동(2726065200)","18,348","18,348","935","1,682","2,318","1,752","2,599","3,494","3,061","1,536","851","118","2"
"대구광역시 수성구 범물1동(2726066100)","11,204","11,204","317","591","1,163","888","1,187","1,987","2,472","1,606","875","113","5"
"대구광역시 수성구 범물2동(2726066200)","16,921","16,921","1,190","1,810","1,979","1,704","2,727","3,110","2,691","1,154","492","62","2"
"대구광역시 수성구 고산1동(2726067000)","31,217","31,217","2,117","4,456","4,087","2,919","5,309","5,899","3,793","1,636","881","118","2"
"대구광역시 수성구 고산2동(2726068000)","28,503","28,503","2,198","3,112","3,714","3,355","4,489","5,028","3,746","1,768","936","151","6"
"대구광역시 수성구 고산3동(2726069000)","32,754","32,754","2,143","3,826","4,437","3,269","5,080","6,649","4,100","1,942","1,154","152","2"
"대구광역시 달서구 (2729000000)","539,024","539,024","35,201","52,150","73,000","61,495","83,454","100,419","78,674","36,265","16,310","2,012","44"
"대구광역시 달서구 성당동(2729051500)","22,669","22,669","1,360","1,948","2,570","2,400","3,455","3,906","3,896","2,156","875","94","9"
"대구광역시 달서구 두류1.2동(2729053500)","14,220","14,220","490","691","2,244","1,832","1,731","2,415","2,523","1,507","708","77","2"
"대구광역시 달서구 두류3동(2729055000)","8,112","8,112","333","535","1,141","901","1,071","1,395","1,391","890","408","46","1"
"대구광역시 달서구 감삼동(2729055500)","25,734","25,734","1,854","2,127","3,660","3,408","3,772","4,871","3,734","1,625","619","60","4"
"대구광역시 달서구 죽전동(2729056300)","13,330","13,330","513","868","2,202","1,658","1,741","2,606","2,280","999","418","45","0"
"대구광역시 달서구 장기동(2729056800)","16,945","16,945","1,152","1,562","2,275","2,023","2,602","3,328","2,409","1,114","430","49","1"
"대구광역시 달서구 용산1동(2729057100)","30,540","30,540","1,726","3,241","4,649","3,103","4,688","6,675","4,051","1,642","696","67","2"
"대구광역시 달서구 용산2동(2729057200)","28,371","28,371","1,541","2,661","4,291","3,197","4,156","6,336","3,959","1,467","703","59","1"
"대구광역시 달서구 이곡1동(2729057600)","22,731","22,731","1,136","2,185","3,832","2,460","3,339","5,085","2,950","1,144","537","61","2"
"대구광역시 달서구 이곡2동(2729057700)","16,160","16,160","775","1,237","2,290","2,025","2,175","3,338","2,899","989","394","36","2"
"대구광역시 달서구 신당동(2729058500)","31,608","31,608","1,236","2,301","7,036","3,596","3,999","6,202","4,189","1,953","977","118","1"
"대구광역시 달서구 본리동(2729059000)","20,281","20,281","1,877","2,179","2,135","2,567","3,732","3,553","2,659","1,082","437","57","3"
"대구광역시 달서구 월성1동(2729060100)","37,647","37,647","3,675","7,204","3,933","3,366","8,821","5,989","2,744","1,293","533","88","1"
"대구광역시 달서구 월성2동(2729060200)","15,594","15,594","493","1,032","1,589","1,162","2,008","2,897","3,165","2,132","999","114","3"
