장애유형,1급,,,2급,,,3급,,,4급,,,5급,,,6급,,,합계
,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,
 합계 ,"116,462","81,819","198,281","200,070","142,090","342,160","268,537","174,791","443,328","199,286","185,919","385,205","300,200","267,095","567,295","411,743","237,864","649,607","2,585,876"
 지체 ,"22,444","10,796","33,240","40,523","21,688","62,211","98,406","51,301","149,707","112,865","120,584","233,449","184,694","173,235","357,929","257,856","144,140","401,996","1,238,532"
 시각 ,"16,341","15,356","31,697","3,025","3,385","6,410","5,640","5,604","11,244","6,577","6,652","13,229","11,194","9,485","20,679","107,538","62,160","169,698","252,957"
 청각 ,"3,810","3,172","6,982","23,121","21,700","44,821","24,292","19,564","43,856","43,676","36,258","79,934","61,036","57,746","118,782","26,305","21,902","48,207","342,582"
 언어 ,61,37,98,"1,466",708,"2,174","6,186","2,216","8,402","7,194","2,874","10,068",2,0,2,0,0,0,"20,744"
 지적 ,"29,953","20,550","50,503","42,352","30,093","72,445","52,441","31,528","83,969",0,0,0,0,0,0,0,0,0,"206,917"
 뇌병변 ,"29,213","26,431","55,644","25,578","22,714","48,292","31,802","24,045","55,847","19,022","13,468","32,490","19,346","11,759","31,105","20,044","9,661","29,705","253,083"
 자폐성 ,"8,634","1,838","10,472","10,261","1,897","12,158","3,734",339,"4,073",0,0,0,0,0,0,0,0,0,"26,703"
 정신 ,"1,090","1,008","2,098","14,760","13,055","27,815","36,571","35,656","72,227",0,0,0,0,0,0,0,0,0,"102,140"
 신장 ,"3,378","1,947","5,325","35,246","25,304","60,550",39,14,53,540,254,794,"12,317","8,853","21,170",0,0,0,"87,892"
 심장 ,74,46,120,388,249,637,"2,274","1,363","3,637",37,19,56,596,258,854,0,0,0,"5,304"
 호흡기 ,"1,177",480,"1,657","2,635",808,"3,443","4,820","1,626","6,446",8,1,9,122,84,206,0,0,0,"11,761"
 간 ,155,52,207,176,73,249,348,121,469,325,64,389,"7,921","3,289","11,210",0,0,0,"12,524"
 안면 ,54,44,98,235,186,421,533,366,899,675,490,"1,165",64,41,105,0,1,1,"2,689"
 장루.요루 ,7,1,8,75,50,125,770,462,"1,232","6,130","3,396","9,526","2,309","1,827","4,136",0,0,0,"15,027"
 뇌전증 ,71,61,132,229,180,409,681,586,"1,267","2,237","1,859","4,096",599,518,"1,117",0,0,0,"7,021"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,d,,,,,,,,,,,,,,,
